date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Argentina,Bariloche,8.1,58,5.3,0,4.9,66
2026-05-17,Argentina,Bariloche,4.4,65,1.7,0,1.7,139
2026-05-17,Argentina,Bariloche,5.8,55,3.0,0,2.3,148
2026-05-17,Argentina,Bariloche,7.7,45,4.5,0,3.8,101
2026-05-18,Argentina,Bariloche,11.1,51,8.7,0,3.1,50
2026-05-19,Argentina,Bariloche,13.3,38,9.1,0,13.2,112
2026-05-20,Argentina,Bariloche,11.0,54,6.1,0,21.7,104
2026-05-21,Argentina,Bariloche,6.8,84,2.5,3,20.0,112
2026-05-22,Argentina,Bariloche,7.4,79,4.6,2,9.1,115
2026-05-23,Argentina,Bariloche,3.2,89,0.5,2,5.3,123
2026-05-24,Argentina,Bariloche,4.4,89,1.6,1,7.8,261
2026-05-25,Argentina,Bariloche,9.0,76,7.4,1,2.4,81
2026-05-26,Argentina,Bariloche,11.1,61,8.4,3,8.5,114
2026-05-27,Argentina,Bariloche,11.1,67,7.8,3,14.1,120
2026-05-28,Argentina,Bariloche,9.2,88,8.3,51,0.6,146
2026-05-29,Argentina,Bariloche,11.4,74,10.1,1,3.4,3
2026-05-30,Argentina,Bariloche,6.5,81,4.8,3,1.0,158
2026-05-31,Argentina,Bariloche,8.7,73,6.7,3,4.4,78
