date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Argentina,Buenos Aires,13.4,75,11.9,3,9.4,182
2026-05-17,Argentina,Buenos Aires,7.9,74,5.0,0,10.0,187
2026-05-17,Argentina,Buenos Aires,8.6,71,5.9,2,8.4,191
2026-05-17,Argentina,Buenos Aires,10.4,64,7.6,1,9.3,188
2026-05-18,Argentina,Buenos Aires,14.9,41,11.5,0,10.6,272
2026-05-19,Argentina,Buenos Aires,15.8,46,12.7,0,11.0,275
2026-05-20,Argentina,Buenos Aires,14.0,58,11.0,3,13.4,187
2026-05-21,Argentina,Buenos Aires,11.3,49,8.4,2,6.7,175
2026-05-22,Argentina,Buenos Aires,11.6,61,9.5,3,5.3,57
2026-05-23,Argentina,Buenos Aires,10.5,80,8.8,1,6.8,73
2026-05-24,Argentina,Buenos Aires,11.5,92,10.8,3,5.1,17
2026-05-25,Argentina,Buenos Aires,15.5,75,14.9,3,6.6,43
2026-05-26,Argentina,Buenos Aires,14.4,81,14.0,1,5.4,37
2026-05-27,Argentina,Buenos Aires,12.5,90,12.0,3,5.6,73
2026-05-28,Argentina,Buenos Aires,14.4,80,13.0,3,12.6,103
2026-05-29,Argentina,Buenos Aires,13.2,78,11.8,0,9.2,102
2026-05-30,Argentina,Buenos Aires,8.1,99,6.9,3,4.8,167
2026-05-31,Argentina,Buenos Aires,12.7,75,11.8,0,2.9,356
2026-06-01,Argentina,Buenos Aires,12.1,80,9.7,2,14.1,101
2026-06-02,Argentina,Buenos Aires,13.4,84,12.5,3,7.4,103
2026-06-03,Argentina,Buenos Aires,15.6,81,15.2,3,7.9,101
2026-06-04,Argentina,Buenos Aires,15.0,86,14.4,3,9.7,88
2026-06-05,Argentina,Buenos Aires,15.8,89,16.2,51,5.3,98
2026-06-06,Argentina,Buenos Aires,14.3,99,14.9,3,4.9,204
2026-06-07,Argentina,Buenos Aires,15.4,88,14.1,3,16.4,105
2026-06-08,Argentina,Buenos Aires,13.4,89,12.5,51,9.5,134
2026-06-09,Argentina,Buenos Aires,13.4,80,12.9,3,3.5,51
2026-06-10,Argentina,Buenos Aires,13.8,83,13.4,3,4.8,37
2026-06-11,Argentina,Buenos Aires,15.0,90,15.2,0,5.6,22
2026-06-12,Argentina,Buenos Aires,13.7,82,13.2,0,4.7,9
2026-06-13,Argentina,Buenos Aires,14.1,81,12.9,3,10.1,269
2026-06-14,Argentina,Buenos Aires,3.5,89,0.3,0,9.2,228
2026-06-15,Argentina,Buenos Aires,8.2,65,5.1,0,8.3,300
2026-06-16,Argentina,Buenos Aires,9.3,82,6.6,0,11.8,304
2026-06-17,Argentina,Buenos Aires,8.2,83,5.9,0,7.9,137
2026-06-18,Argentina,Buenos Aires,10.5,83,7.9,3,13.0,41
2026-06-19,Argentina,Buenos Aires,8.9,75,5.2,0,16.4,220
2026-06-20,Argentina,Buenos Aires,6.2,84,3.5,0,8.2,334
2026-06-21,Argentina,Buenos Aires,8.1,81,5.6,3,9.1,322
2026-06-22,Argentina,Buenos Aires,8.6,66,5.2,3,11.6,233
2026-06-23,Argentina,Buenos Aires,4.4,77,0.4,0,13.9,264
2026-06-24,Argentina,Buenos Aires,3.4,88,0.3,0,8.1,265
2026-06-25,Argentina,Buenos Aires,6.1,79,2.7,0,12.0,294
2026-06-26,Argentina,Buenos Aires,7.3,81,4.5,2,9.6,34
2026-06-27,Argentina,Buenos Aires,7.4,92,5.5,3,6.7,314
2026-06-29,Argentina,Buenos Aires,6.7,79,3.8,0,9.2,290
2026-06-30,Argentina,Buenos Aires,7.3,86,5.1,0,7.0,50
2026-07-01,Argentina,Buenos Aires,4.5,97,2.2,3,6.1,210
