date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Argentina,Cordoba,11.6,80,8.7,51,16.6,190
2026-05-17,Argentina,Cordoba,6.0,72,2.6,0,10.0,210
2026-05-17,Argentina,Cordoba,7.6,64,4.1,0,10.7,202
2026-05-17,Argentina,Cordoba,9.8,57,6.0,0,13.1,180
2026-05-18,Argentina,Cordoba,13.6,48,10.9,0,10.1,41
2026-05-19,Argentina,Cordoba,16.6,42,14.8,0,4.7,137
2026-05-20,Argentina,Cordoba,16.9,32,13.7,1,7.3,138
2026-05-21,Argentina,Cordoba,13.1,61,11.2,3,5.4,50
2026-05-22,Argentina,Cordoba,12.5,60,10.3,0,8.0,50
2026-05-23,Argentina,Cordoba,4.4,88,1.9,0,5.4,354
2026-05-24,Argentina,Cordoba,6.3,89,3.5,0,10.8,42
2026-05-25,Argentina,Cordoba,16.2,56,15.3,0,3.2,124
