date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Argentina,Mendoza,8.4,59,4.0,2,16.0,179
2026-05-17,Argentina,Mendoza,2.4,80,-0.6,0,5.0,195
2026-05-17,Argentina,Mendoza,4.5,74,1.9,0,3.9,158
2026-05-17,Argentina,Mendoza,6.7,67,4.0,0,4.7,94
2026-05-18,Argentina,Mendoza,11.6,58,9.1,0,7.8,53
2026-05-19,Argentina,Mendoza,16.0,43,14.0,0,5.7,79
2026-05-20,Argentina,Mendoza,14.5,34,11.4,1,5.6,94
2026-05-21,Argentina,Mendoza,12.6,44,9.6,3,7.3,52
2026-05-22,Argentina,Mendoza,11.5,51,8.8,0,8.0,46
2026-05-23,Argentina,Mendoza,3.8,84,1.5,2,2.2,180
2026-05-24,Argentina,Mendoza,4.1,72,1.2,2,4.2,173
2026-05-25,Argentina,Mendoza,14.4,38,11.7,0,5.8,92
2026-05-26,Argentina,Mendoza,14.2,40,11.4,0,6.0,61
2026-05-27,Argentina,Mendoza,15.6,49,13.3,2,7.4,90
