date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Argentina,Rosario,15.6,65,14.6,3,5.4,184
2026-05-17,Argentina,Rosario,9.2,93,6.5,51,15.0,186
2026-05-17,Argentina,Rosario,9.1,92,6.3,53,15.0,186
2026-05-17,Argentina,Rosario,8.6,92,6.0,53,13.2,178
2026-05-18,Argentina,Rosario,14.0,54,12.0,0,5.4,291
2026-05-19,Argentina,Rosario,15.4,58,13.5,0,7.7,294
2026-05-20,Argentina,Rosario,16.1,55,14.3,0,7.5,172
2026-05-21,Argentina,Rosario,12.9,58,10.9,3,5.5,117
2026-05-22,Argentina,Rosario,12.0,59,10.0,2,5.2,78
2026-05-23,Argentina,Rosario,6.2,94,3.9,0,7.8,112
2026-05-24,Argentina,Rosario,8.3,98,6.6,2,7.9,73
2026-05-25,Argentina,Rosario,14.6,79,14.7,1,1.3,90
2026-05-26,Argentina,Rosario,15.9,68,15.0,0,6.9,120
2026-05-27,Argentina,Rosario,16.6,72,15.7,1,9.2,79
2026-05-28,Argentina,Rosario,17.5,69,16.9,3,7.6,68
2026-05-29,Argentina,Rosario,17.4,65,16.6,1,7.0,148
2026-05-30,Argentina,Rosario,10.4,94,9.3,3,6.7,109
2026-05-31,Argentina,Rosario,11.6,90,11.1,3,3.1,28
2026-06-01,Argentina,Rosario,14.4,78,13.1,0,10.2,82
2026-06-02,Argentina,Rosario,14.9,73,13.4,2,10.3,75
2026-06-03,Argentina,Rosario,16.0,86,15.3,53,12.9,110
2026-06-04,Argentina,Rosario,21.4,68,21.9,3,8.1,43
2026-06-05,Argentina,Rosario,19.4,77,20.5,1,4.3,24
2026-06-06,Argentina,Rosario,14.9,97,15.4,3,6.1,168
2026-06-07,Argentina,Rosario,15.4,91,15.0,3,11.1,124
2026-06-08,Argentina,Rosario,14.6,79,12.8,3,14.9,203
2026-06-09,Argentina,Rosario,14.8,77,13.6,3,9.1,54
2026-06-10,Argentina,Rosario,15.3,76,15.5,3,1.0,158
2026-06-11,Argentina,Rosario,17.0,63,16.3,0,4.5,124
2026-06-12,Argentina,Rosario,15.8,67,14.2,1,10.2,343
2026-06-13,Argentina,Rosario,15.3,79,14.3,3,10.6,305
2026-06-14,Argentina,Rosario,4.5,97,2.0,0,7.4,194
2026-06-15,Argentina,Rosario,9.0,73,6.6,1,7.1,341
2026-06-16,Argentina,Rosario,9.2,90,7.3,2,8.6,321
2026-06-17,Argentina,Rosario,9.0,97,7.2,3,9.2,111
