date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Australia,Adelaide,11.7,95,11.7,0,1.4,90
2026-05-17,Australia,Adelaide,13.4,94,13.5,0,4.6,108
2026-05-17,Australia,Adelaide,13.0,95,12.9,1,5.6,105
2026-05-17,Australia,Adelaide,13.0,94,13.1,1,3.5,69
2026-05-18,Australia,Adelaide,14.9,84,14.0,1,10.9,261
2026-05-19,Australia,Adelaide,14.6,85,13.2,51,13.5,243
2026-05-20,Australia,Adelaide,10.1,95,9.2,3,4.9,84
2026-05-21,Australia,Adelaide,11.8,78,9.6,2,11.9,59
2026-05-22,Australia,Adelaide,13.9,75,11.7,3,14.2,49
2026-05-23,Australia,Adelaide,16.0,73,14.6,3,12.2,47
2026-05-24,Australia,Adelaide,11.5,89,9.5,1,12.9,51
2026-05-25,Australia,Adelaide,10.5,89,8.3,1,12.6,57
2026-05-26,Australia,Adelaide,10.3,94,9.7,3,3.3,99
2026-05-27,Australia,Adelaide,11.6,95,11.6,1,1.6,90
2026-05-28,Australia,Adelaide,12.8,97,11.9,51,11.0,346
2026-05-29,Australia,Adelaide,14.2,85,12.6,1,14.0,277
2026-05-30,Australia,Adelaide,13.5,66,10.3,0,17.2,228
2026-05-31,Australia,Adelaide,11.8,70,8.5,51,16.1,31
2026-06-01,Australia,Adelaide,13.5,93,11.6,61,18.6,292
2026-06-02,Australia,Adelaide,12.3,83,9.2,53,20.5,245
2026-06-03,Australia,Adelaide,11.1,74,7.0,51,22.1,207
2026-06-04,Australia,Adelaide,11.2,80,9.1,1,10.8,190
2026-06-05,Australia,Adelaide,11.3,93,11.1,0,1.6,27
2026-06-06,Australia,Adelaide,11.0,87,9.9,1,5.6,86
2026-06-07,Australia,Adelaide,12.1,71,9.8,3,10.2,51
2026-06-08,Australia,Adelaide,11.3,68,7.7,0,17.2,43
2026-06-09,Australia,Adelaide,13.8,89,10.8,61,25.0,335
2026-06-10,Australia,Adelaide,8.8,80,7.1,0,3.8,95
2026-06-11,Australia,Adelaide,17.0,63,14.3,3,17.7,35
2026-06-12,Australia,Adelaide,17.4,62,14.4,51,20.7,346
