date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Australia,Brisbane,15.2,100,16.0,3,6.7,232
2026-05-17,Australia,Brisbane,18.2,98,20.0,51,6.9,174
2026-05-17,Australia,Brisbane,18.3,94,20.0,3,6.3,162
2026-05-17,Australia,Brisbane,17.7,98,19.3,51,7.3,157
2026-05-18,Australia,Brisbane,19.1,98,21.1,3,9.2,2
2026-05-19,Australia,Brisbane,15.2,78,12.9,0,18.6,254
2026-05-20,Australia,Brisbane,13.1,75,11.2,0,10.4,233
2026-05-21,Australia,Brisbane,14.7,83,13.1,0,14.7,222
2026-05-22,Australia,Brisbane,16.0,77,14.6,1,14.1,211
2026-05-23,Australia,Brisbane,16.5,88,16.6,0,9.3,223
2026-05-24,Australia,Brisbane,17.8,91,19.0,2,6.7,218
2026-05-25,Australia,Brisbane,17.4,94,18.5,3,7.4,166
2026-05-26,Australia,Brisbane,18.2,99,20.5,3,4.4,210
2026-05-27,Australia,Brisbane,17.0,100,18.7,3,5.1,170
2026-05-28,Australia,Brisbane,14.3,82,13.4,3,8.7,339
2026-05-29,Australia,Brisbane,15.7,76,13.8,1,16.4,246
2026-05-30,Australia,Brisbane,14.6,65,11.5,0,18.6,244
2026-05-31,Australia,Brisbane,12.9,70,10.7,0,11.1,248
2026-06-01,Australia,Brisbane,10.1,89,9.5,2,1.0,292
2026-06-02,Australia,Brisbane,13.3,77,12.4,0,5.3,325
2026-06-03,Australia,Brisbane,11.6,70,9.4,0,9.5,268
2026-06-04,Australia,Brisbane,14.6,51,10.1,0,21.3,257
2026-06-05,Australia,Brisbane,10.8,77,7.9,0,14.2,244
2026-06-06,Australia,Brisbane,11.3,83,10.2,0,5.0,240
