date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Australia,Melbourne,14.8,83,14.2,53,8.1,24
2026-05-17,Australia,Melbourne,14.6,97,15.0,55,5.7,193
2026-05-17,Australia,Melbourne,14.5,97,15.0,51,5.5,171
2026-05-17,Australia,Melbourne,14.4,97,15.1,51,3.8,175
2026-05-18,Australia,Melbourne,12.6,99,13.0,3,2.5,266
2026-05-19,Australia,Melbourne,10.1,80,8.2,0,8.0,301
2026-05-20,Australia,Melbourne,9.4,92,8.4,3,4.1,293
2026-05-21,Australia,Melbourne,7.1,100,5.8,3,3.7,11
2026-05-22,Australia,Melbourne,8.1,91,6.6,3,4.2,25
2026-05-23,Australia,Melbourne,11.9,84,10.8,3,6.3,24
2026-05-24,Australia,Melbourne,14.8,84,14.0,3,10.1,24
2026-05-25,Australia,Melbourne,10.0,100,9.7,3,2.2,9
2026-05-26,Australia,Melbourne,13.8,96,13.9,53,5.9,180
2026-05-27,Australia,Melbourne,9.5,100,8.9,3,3.4,357
2026-05-28,Australia,Melbourne,11.7,93,10.7,3,8.0,260
2026-05-29,Australia,Melbourne,10.9,87,9.7,1,6.8,349
2026-05-30,Australia,Melbourne,11.2,84,9.4,0,10.1,299
