date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Australia,Perth,11.0,98,10.7,2,3.8,65
2026-05-17,Australia,Perth,15.3,86,15.9,2,2.2,185
2026-05-17,Australia,Perth,15.3,90,16.0,1,3.1,149
2026-05-17,Australia,Perth,14.9,91,15.7,0,1.7,49
2026-05-18,Australia,Perth,11.9,95,11.8,0,3.5,102
2026-05-19,Australia,Perth,13.9,58,11.7,2,7.9,24
2026-05-20,Australia,Perth,13.1,80,12.3,3,4.6,39
2026-05-21,Australia,Perth,12.1,91,11.0,0,9.1,165
2026-05-22,Australia,Perth,9.6,85,8.3,0,4.2,115
2026-05-23,Australia,Perth,11.9,80,10.6,0,6.5,134
2026-05-24,Australia,Perth,12.9,62,10.8,0,7.7,89
2026-05-25,Australia,Perth,14.2,45,10.6,1,13.0,44
2026-05-26,Australia,Perth,15.1,48,11.6,3,14.6,27
2026-05-27,Australia,Perth,18.1,94,18.0,61,17.9,295
2026-05-28,Australia,Perth,12.9,88,13.0,1,1.0,239
2026-05-29,Australia,Perth,10.8,97,10.3,0,4.4,69
2026-05-30,Australia,Perth,18.0,79,15.5,51,26.1,18
2026-05-31,Australia,Perth,18.1,70,12.8,51,42.1,259
2026-06-01,Australia,Perth,17.4,63,14.4,51,21.3,265
2026-06-02,Australia,Perth,10.8,96,10.0,2,6.1,78
2026-06-03,Australia,Perth,8.7,90,7.3,1,4.3,73
2026-06-04,Australia,Perth,10.4,71,7.8,0,10.1,89
2026-06-05,Australia,Perth,11.6,83,10.5,0,5.5,36
2026-06-06,Australia,Perth,14.6,87,14.6,0,5.1,144
2026-06-07,Australia,Perth,16.3,90,16.3,51,10.8,339
2026-06-08,Australia,Perth,14.2,85,10.8,63,26.9,245
2026-06-09,Australia,Perth,10.8,78,9.4,2,4.3,42
2026-06-10,Australia,Perth,13.2,95,12.6,53,8.9,28
2026-06-11,Australia,Perth,14.3,84,12.1,51,18.2,219
2026-06-12,Australia,Perth,9.1,83,7.4,1,5.0,41
2026-06-13,Australia,Perth,12.7,74,11.0,3,8.1,29
2026-06-14,Australia,Perth,12.6,96,12.8,51,2.4,138
2026-06-15,Australia,Perth,8.1,90,5.9,0,8.9,159
2026-06-16,Australia,Perth,9.9,77,7.6,1,8.6,160
2026-06-17,Australia,Perth,11.8,88,10.8,0,5.9,157
2026-06-18,Australia,Perth,10.4,87,8.9,0,7.0,136
2026-06-19,Australia,Perth,11.4,78,9.5,3,8.3,94
2026-06-20,Australia,Perth,13.7,71,11.9,3,9.5,46
2026-06-21,Australia,Perth,15.1,77,13.8,3,10.5,24
2026-06-22,Australia,Perth,12.2,91,11.9,0,3.5,141
2026-06-23,Australia,Perth,14.2,88,13.8,0,7.3,150
2026-06-24,Australia,Perth,14.8,71,13.5,0,7.7,78
2026-06-25,Australia,Perth,15.1,61,12.5,0,13.4,36
2026-06-26,Australia,Perth,15.8,62,11.9,0,23.7,300
2026-06-27,Australia,Perth,15.1,81,12.4,53,22.7,259
2026-06-29,Australia,Perth,15.7,77,13.4,2,19.0,308
2026-06-30,Australia,Perth,13.7,73,10.6,51,19.2,197
2026-07-01,Australia,Perth,15.6,79,14.2,51,13.8,244
2026-07-02,Australia,Perth,13.2,81,12.0,3,8.0,157
2026-07-03,Australia,Perth,12.9,73,11.1,2,9.1,99
2026-07-04,Australia,Perth,14.5,72,13.1,3,8.7,48
2026-07-05,Australia,Perth,14.2,96,14.5,80,5.9,20
2026-07-06,Australia,Perth,14.1,83,13.5,1,6.5,129
2026-07-07,Australia,Perth,14.8,88,14.4,1,8.1,162
2026-07-08,Australia,Perth,15.5,83,16.1,1,1.3,196
2026-07-09,Australia,Perth,16.1,81,15.7,51,8.3,311
2026-07-10,Australia,Perth,13.4,81,12.1,0,9.3,172
2026-07-11,Australia,Perth,14.3,74,13.0,0,8.1,201
2026-07-12,Australia,Perth,13.6,82,12.6,0,7.9,192
