date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Australia,Sydney,14.8,97,15.8,2,2.4,297
2026-05-17,Australia,Sydney,16.4,96,17.6,3,5.3,282
2026-05-17,Australia,Sydney,16.0,100,17.9,3,1.8,276
2026-05-17,Australia,Sydney,16.4,97,17.9,3,3.6,273
2026-05-18,Australia,Sydney,15.7,98,16.5,3,7.5,280
2026-05-19,Australia,Sydney,12.9,80,10.6,0,15.3,252
2026-05-20,Australia,Sydney,11.9,74,9.2,0,13.8,250
2026-05-21,Australia,Sydney,14.6,95,13.8,51,13.6,204
2026-05-22,Australia,Sydney,16.7,77,15.3,2,15.3,149
2026-05-23,Australia,Sydney,16.4,88,17.1,51,4.9,94
2026-05-24,Australia,Sydney,15.9,96,17.6,51,0.5,180
2026-05-25,Australia,Sydney,15.1,99,16.3,51,3.6,240
2026-05-26,Australia,Sydney,14.6,98,15.4,3,4.7,288
2026-05-27,Australia,Sydney,17.6,93,18.8,51,7.2,129
2026-05-28,Australia,Sydney,16.6,91,14.8,51,24.4,214
2026-05-29,Australia,Sydney,12.8,72,9.8,2,16.7,263
2026-05-30,Australia,Sydney,13.2,72,11.1,0,11.6,294
2026-05-31,Australia,Sydney,10.9,67,7.1,0,17.5,265
2026-06-01,Australia,Sydney,11.1,78,7.9,1,17.5,12
2026-06-02,Australia,Sydney,14.0,73,11.0,1,19.0,343
2026-06-03,Australia,Sydney,12.2,71,9.5,1,14.0,352
2026-06-04,Australia,Sydney,11.7,68,7.5,2,21.6,260
2026-06-05,Australia,Sydney,9.4,76,5.8,0,16.7,258
2026-06-06,Australia,Sydney,11.0,76,8.9,0,9.2,272
2026-06-07,Australia,Sydney,9.7,94,8.1,0,8.6,272
2026-06-08,Australia,Sydney,10.5,99,9.7,2,5.6,287
2026-06-09,Australia,Sydney,12.1,94,11.4,1,6.5,352
2026-06-10,Australia,Sydney,14.0,92,13.1,3,11.3,333
2026-06-11,Australia,Sydney,13.4,93,12.7,1,9.2,270
2026-06-12,Australia,Sydney,12.4,100,12.0,3,8.2,296
2026-06-13,Australia,Sydney,16.2,77,15.2,3,11.4,344
2026-06-14,Australia,Sydney,15.5,88,15.1,51,10.2,171
2026-06-15,Australia,Sydney,12.5,96,11.9,2,7.3,286
2026-06-16,Australia,Sydney,13.8,89,13.1,3,8.5,287
2026-06-17,Australia,Sydney,14.1,92,14.2,1,4.5,310
2026-06-18,Australia,Sydney,17.1,67,14.6,3,19.0,345
2026-06-19,Australia,Sydney,15.3,74,13.3,3,14.7,337
2026-06-20,Australia,Sydney,13.2,71,11.3,0,9.4,288
2026-06-21,Australia,Sydney,13.7,77,12.1,3,10.0,221
2026-06-22,Australia,Sydney,10.4,81,7.9,0,12.0,261
2026-06-23,Australia,Sydney,10.3,79,7.9,0,10.9,276
2026-06-24,Australia,Sydney,14.2,80,12.3,51,14.3,199
2026-06-25,Australia,Sydney,12.6,87,12.1,51,4.2,160
2026-06-26,Australia,Sydney,11.0,96,10.0,51,7.7,259
2026-06-27,Australia,Sydney,12.3,95,12.7,51,0.6,162
2026-06-29,Australia,Sydney,13.4,92,13.1,2,6.3,357
2026-06-30,Australia,Sydney,14.6,85,12.9,2,15.2,7
2026-07-01,Australia,Sydney,18.0,69,15.8,3,20.1,9
2026-07-02,Australia,Sydney,15.1,59,12.0,0,16.3,334
2026-07-03,Australia,Sydney,11.7,60,7.3,0,20.7,267
2026-07-04,Australia,Sydney,11.6,73,9.0,1,11.7,265
2026-07-05,Australia,Sydney,13.0,79,10.3,3,17.2,174
2026-07-06,Australia,Sydney,13.0,88,11.3,51,13.8,198
2026-07-07,Australia,Sydney,13.2,85,11.9,1,10.1,196
2026-07-08,Australia,Sydney,13.6,83,12.0,51,12.1,195
2026-07-09,Australia,Sydney,12.0,88,11.2,1,5.6,184
2026-07-10,Australia,Sydney,10.5,95,9.3,3,7.6,289
2026-07-11,Australia,Sydney,12.6,75,10.2,1,13.1,353
