date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Austria,Graz,10.7,55,8.3,3,4.1,255
2026-05-17,Austria,Graz,17.7,27,15.2,2,10.4,346
2026-05-17,Austria,Graz,17.5,29,13.5,2,14.2,339
2026-05-17,Austria,Graz,16.9,30,12.9,2,11.7,342
2026-05-18,Austria,Graz,16.9,51,15.1,2,6.5,109
2026-05-19,Austria,Graz,15.5,77,15.3,2,3.9,22
2026-05-20,Austria,Graz,18.1,49,15.4,3,13.9,329
2026-05-21,Austria,Graz,18.6,49,17.2,1,5.2,304
2026-05-22,Austria,Graz,22.5,39,21.0,2,5.9,137
2026-05-23,Austria,Graz,25.5,36,24.9,2,5.6,130
2026-05-24,Austria,Graz,28.2,35,28.0,1,8.6,90
2026-05-25,Austria,Graz,28.3,40,28.1,2,8.7,120
2026-05-26,Austria,Graz,26.3,45,26.7,1,4.2,149
2026-05-27,Austria,Graz,22.9,68,24.4,1,5.1,172
