date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Austria,Hallstatt,8.0,80,6.0,80,5.0,90
2026-05-17,Austria,Hallstatt,13.3,43,13.1,3,1.5,284
2026-05-17,Austria,Hallstatt,13.6,40,12.5,3,2.3,342
2026-05-17,Austria,Hallstatt,13.8,42,11.4,3,3.4,342
2026-05-18,Austria,Hallstatt,17.1,45,15.6,3,2.3,129
2026-05-19,Austria,Hallstatt,16.8,58,16.3,3,0.8,243
2026-05-20,Austria,Hallstatt,15.2,69,14.1,2,6.6,45
2026-05-21,Austria,Hallstatt,16.6,65,16.0,3,4.5,119
2026-05-22,Austria,Hallstatt,21.8,43,20.4,0,7.1,315
2026-05-23,Austria,Hallstatt,23.5,47,25.0,2,3.8,319
2026-05-24,Austria,Hallstatt,26.3,39,27.1,1,4.7,270
2026-05-25,Austria,Hallstatt,27.2,39,26.8,0,7.1,319
2026-05-26,Austria,Hallstatt,26.6,49,28.2,0,0.5,225
2026-05-27,Austria,Hallstatt,25.3,39,24.7,1,5.1,321
2026-05-28,Austria,Hallstatt,20.8,42,19.7,3,2.9,83
