date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Austria,Innsbruck,8.2,77,6.4,1,3.3,186
2026-05-17,Austria,Innsbruck,14.8,38,13.9,1,5.8,30
2026-05-17,Austria,Innsbruck,15.3,38,13.9,1,7.4,43
2026-05-17,Austria,Innsbruck,15.8,36,13.5,1,7.4,67
2026-05-18,Austria,Innsbruck,15.2,54,13.4,61,4.8,42
2026-05-19,Austria,Innsbruck,17.7,45,15.1,3,10.1,55
2026-05-20,Austria,Innsbruck,16.9,67,16.5,2,4.1,45
2026-05-21,Austria,Innsbruck,19.5,47,17.3,2,10.7,48
2026-05-22,Austria,Innsbruck,25.0,37,22.9,0,13.3,52
2026-05-23,Austria,Innsbruck,27.5,26,27.1,0,9.4,40
2026-05-24,Austria,Innsbruck,28.4,29,28.3,0,10.1,55
2026-05-25,Austria,Innsbruck,28.7,33,26.7,2,15.6,82
2026-05-26,Austria,Innsbruck,28.6,36,27.3,1,13.0,66
2026-05-27,Austria,Innsbruck,24.4,59,26.0,2,2.2,270
2026-05-28,Austria,Innsbruck,23.1,46,22.8,0,3.8,73
2026-05-29,Austria,Innsbruck,23.8,29,21.7,0,5.2,56
2026-05-30,Austria,Innsbruck,28.2,26,27.2,2,5.8,30
2026-05-31,Austria,Innsbruck,23.9,47,24.1,80,2.8,130
2026-06-01,Austria,Innsbruck,12.6,86,11.6,2,7.2,174
2026-06-02,Austria,Innsbruck,16.8,70,15.8,63,9.7,211
2026-06-03,Austria,Innsbruck,11.0,86,9.5,1,7.3,169
2026-06-04,Austria,Innsbruck,21.2,52,20.5,3,6.3,103
2026-06-05,Austria,Innsbruck,17.7,52,15.9,3,8.1,45
2026-06-06,Austria,Innsbruck,22.7,43,21.6,3,6.2,216
2026-06-07,Austria,Innsbruck,23.9,49,22.4,80,15.6,61
2026-06-08,Austria,Innsbruck,21.3,60,19.8,3,17.4,248
2026-06-09,Austria,Innsbruck,14.7,85,14.6,3,5.1,39
2026-06-10,Austria,Innsbruck,11.2,85,10.6,80,1.8,180
2026-06-11,Austria,Innsbruck,12.5,72,11.3,3,4.1,225
2026-06-12,Austria,Innsbruck,14.7,90,14.7,3,6.4,164
2026-06-13,Austria,Innsbruck,25.1,40,23.4,0,12.8,259
2026-06-14,Austria,Innsbruck,25.1,36,23.3,1,19.9,283
2026-06-15,Austria,Innsbruck,24.1,26,21.2,0,12.0,7
2026-06-16,Austria,Innsbruck,22.4,52,21.6,3,10.0,60
2026-06-17,Austria,Innsbruck,27.1,44,28.9,3,4.4,35
2026-06-18,Austria,Innsbruck,29.3,37,31.0,1,7.9,47
2026-06-19,Austria,Innsbruck,33.4,21,33.5,0,8.9,58
2026-06-20,Austria,Innsbruck,29.9,38,32.6,0,4.7,23
2026-06-21,Austria,Innsbruck,27.8,46,27.0,95,18.4,31
2026-06-22,Austria,Innsbruck,33.0,32,33.9,1,7.7,41
2026-06-23,Austria,Innsbruck,32.1,32,34.1,3,6.7,36
2026-06-24,Austria,Innsbruck,31.5,35,33.7,1,7.3,33
2026-06-25,Austria,Innsbruck,33.2,21,32.9,0,12.3,52
