date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Austria,Salzburg,7.9,79,6.3,3,1.6,153
2026-05-17,Austria,Salzburg,15.0,42,14.5,3,3.7,11
2026-05-17,Austria,Salzburg,15.2,43,14.2,3,3.4,302
2026-05-17,Austria,Salzburg,15.3,42,13.2,2,2.3,252
2026-05-18,Austria,Salzburg,17.2,43,14.8,3,7.1,319
2026-05-19,Austria,Salzburg,17.6,50,16.4,3,3.3,354
2026-05-20,Austria,Salzburg,16.8,77,17.3,3,2.1,329
2026-05-21,Austria,Salzburg,17.8,65,17.5,2,3.9,146
2026-05-22,Austria,Salzburg,22.7,37,20.4,1,10.8,64
2026-05-23,Austria,Salzburg,25.7,41,26.6,0,8.8,35
2026-05-24,Austria,Salzburg,28.1,37,29.7,1,5.8,338
2026-05-25,Austria,Salzburg,29.0,32,27.9,0,8.4,20
2026-05-26,Austria,Salzburg,27.9,33,27.3,0,4.3,42
2026-05-27,Austria,Salzburg,25.5,40,25.3,1,3.3,354
2026-05-28,Austria,Salzburg,18.7,54,18.1,0,2.3,108
2026-05-29,Austria,Salzburg,21.5,40,20.4,0,2.2,81
2026-05-30,Austria,Salzburg,26.8,34,25.2,3,10.2,342
2026-05-31,Austria,Salzburg,21.5,65,21.7,96,9.0,268
2026-06-01,Austria,Salzburg,13.6,79,12.6,1,6.9,141
2026-06-02,Austria,Salzburg,15.9,84,14.3,95,18.0,358
2026-06-03,Austria,Salzburg,12.3,84,11.7,3,3.1,159
2026-06-04,Austria,Salzburg,22.9,50,22.6,3,5.9,349
2026-06-05,Austria,Salzburg,17.8,57,16.7,3,5.6,165
