date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Austria,Vienna,10.7,83,8.2,61,13.7,297
2026-05-17,Austria,Vienna,15.7,42,12.1,3,13.1,328
2026-05-17,Austria,Vienna,15.9,39,12.2,3,13.4,333
2026-05-17,Austria,Vienna,15.7,44,11.8,3,16.3,329
2026-05-18,Austria,Vienna,18.7,34,16.2,3,5.6,40
2026-05-19,Austria,Vienna,21.1,38,19.1,2,6.8,342
2026-05-20,Austria,Vienna,19.3,54,16.6,2,17.7,283
2026-05-21,Austria,Vienna,20.1,63,19.3,0,11.6,296
2026-05-22,Austria,Vienna,22.8,39,20.6,3,11.3,17
2026-05-23,Austria,Vienna,24.8,37,24.3,1,11.9,357
2026-05-24,Austria,Vienna,28.3,35,28.9,1,10.1,360
2026-05-25,Austria,Vienna,28.9,28,26.5,0,14.1,6
2026-05-26,Austria,Vienna,29.0,24,26.6,0,9.7,15
2026-05-27,Austria,Vienna,26.8,37,24.5,1,18.0,359
2026-05-28,Austria,Vienna,21.3,27,17.4,0,13.6,22
2026-05-29,Austria,Vienna,25.1,20,22.3,0,4.8,347
2026-05-30,Austria,Vienna,28.2,28,26.5,3,8.5,324
2026-05-31,Austria,Vienna,25.2,47,24.9,61,8.9,284
