date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Brazil,Brasilia,26.5,44,26.6,0,5.8,74
2026-05-17,Brazil,Brasilia,21.6,70,22.5,3,7.7,101
2026-05-17,Brazil,Brasilia,22.6,64,23.1,3,9.2,89
2026-05-17,Brazil,Brasilia,25.0,53,26.3,1,11.1,73
2026-05-18,Brazil,Brasilia,26.8,44,27.4,2,3.3,68
2026-05-19,Brazil,Brasilia,26.6,46,26.9,3,6.4,82
2026-05-20,Brazil,Brasilia,27.5,42,27.6,0,7.2,76
2026-05-21,Brazil,Brasilia,27.0,41,26.0,2,13.2,112
2026-05-22,Brazil,Brasilia,25.1,43,22.9,3,19.0,85
2026-05-23,Brazil,Brasilia,19.9,75,19.0,2,18.0,83
2026-05-24,Brazil,Brasilia,18.7,85,18.7,3,14.4,89
2026-05-25,Brazil,Brasilia,25.6,50,26.2,2,13.1,78
2026-05-26,Brazil,Brasilia,26.1,44,25.3,1,12.2,121
2026-05-27,Brazil,Brasilia,26.4,43,25.9,1,9.0,90
2026-05-28,Brazil,Brasilia,25.2,46,24.3,3,12.6,88
2026-05-29,Brazil,Brasilia,24.8,44,23.6,3,11.3,91
2026-05-30,Brazil,Brasilia,20.2,70,20.2,3,10.6,75
2026-05-31,Brazil,Brasilia,24.6,50,25.0,3,8.6,80
2026-06-01,Brazil,Brasilia,19.5,79,20.6,3,5.8,160
2026-06-02,Brazil,Brasilia,23.0,54,23.0,2,6.7,149
2026-06-03,Brazil,Brasilia,22.6,53,21.8,3,10.7,98
2026-06-04,Brazil,Brasilia,23.2,48,21.6,0,15.9,113
2026-06-05,Brazil,Brasilia,22.0,45,20.1,2,17.0,105
2026-06-06,Brazil,Brasilia,17.6,60,16.2,1,11.2,95
2026-06-07,Brazil,Brasilia,22.5,38,22.3,3,7.6,72
2026-06-08,Brazil,Brasilia,25.1,39,24.6,51,3.5,298
2026-06-09,Brazil,Brasilia,27.3,33,25.9,3,9.9,325
2026-06-10,Brazil,Brasilia,26.4,37,25.0,3,10.5,335
2026-06-11,Brazil,Brasilia,25.3,43,25.0,3,5.8,346
2026-06-12,Brazil,Brasilia,22.9,68,23.6,61,10.8,2
2026-06-13,Brazil,Brasilia,24.1,66,26.8,0,6.9,70
2026-06-14,Brazil,Brasilia,18.4,88,20.1,0,3.1,140
2026-06-15,Brazil,Brasilia,25.8,50,27.9,0,4.7,118
2026-06-16,Brazil,Brasilia,23.1,67,24.5,0,9.6,139
2026-06-17,Brazil,Brasilia,21.5,67,22.1,3,7.9,139
2026-06-18,Brazil,Brasilia,19.9,56,18.6,2,11.1,117
2026-06-19,Brazil,Brasilia,19.5,70,19.1,0,11.0,92
2026-06-20,Brazil,Brasilia,17.4,80,18.2,0,2.7,110
2026-06-21,Brazil,Brasilia,20.8,68,22.0,3,2.2,346
2026-06-22,Brazil,Brasilia,23.7,49,23.8,1,11.1,73
2026-06-23,Brazil,Brasilia,20.3,59,20.4,0,3.9,112
2026-06-24,Brazil,Brasilia,20.5,66,21.4,0,2.3,198
