date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Brazil,Fortaleza,26.1,88,30.9,81,9.1,128
2026-05-17,Brazil,Fortaleza,26.1,90,30.8,53,11.5,130
2026-05-17,Brazil,Fortaleza,26.8,86,31.5,53,15.5,133
2026-05-17,Brazil,Fortaleza,28.3,76,32.6,81,15.5,115
2026-05-18,Brazil,Fortaleza,28.5,73,31.9,51,17.6,103
2026-05-19,Brazil,Fortaleza,28.5,66,30.9,0,17.5,102
2026-05-20,Brazil,Fortaleza,29.0,62,30.9,2,17.0,116
2026-05-21,Brazil,Fortaleza,29.5,66,33.0,51,12.5,102
2026-05-22,Brazil,Fortaleza,31.4,50,33.8,1,15.0,151
2026-05-23,Brazil,Fortaleza,28.5,66,31.5,0,15.7,155
