date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Brazil,Rio de Janeiro,24.5,75,26.8,0,9.8,133
2026-05-17,Brazil,Rio de Janeiro,25.7,73,29.5,1,1.8,204
2026-05-17,Brazil,Rio de Janeiro,26.6,69,30.3,2,3.5,171
2026-05-17,Brazil,Rio de Janeiro,28.2,64,32.3,3,4.4,168
2026-05-18,Brazil,Rio de Janeiro,24.6,78,27.2,3,10.8,217
2026-05-19,Brazil,Rio de Janeiro,24.0,77,25.3,3,16.6,239
2026-05-20,Brazil,Rio de Janeiro,22.7,85,24.4,51,14.5,217
2026-05-21,Brazil,Rio de Janeiro,21.7,69,21.3,3,16.1,187
2026-05-22,Brazil,Rio de Janeiro,20.9,82,22.6,51,7.3,160
2026-05-23,Brazil,Rio de Janeiro,21.3,81,23.4,1,5.5,32
2026-05-24,Brazil,Rio de Janeiro,22.5,85,25.8,2,3.1,211
2026-05-25,Brazil,Rio de Janeiro,23.0,78,24.6,3,12.2,214
2026-05-26,Brazil,Rio de Janeiro,23.6,82,25.4,1,14.6,120
2026-05-27,Brazil,Rio de Janeiro,24.3,78,25.2,1,20.8,230
2026-05-28,Brazil,Rio de Janeiro,22.4,72,22.4,1,16.9,235
2026-05-29,Brazil,Rio de Janeiro,21.6,74,23.4,3,3.5,165
2026-05-30,Brazil,Rio de Janeiro,22.4,69,23.9,1,5.1,39
2026-05-31,Brazil,Rio de Janeiro,22.9,77,24.2,1,12.8,239
2026-06-01,Brazil,Rio de Janeiro,20.9,90,22.8,2,10.8,216
2026-06-02,Brazil,Rio de Janeiro,20.5,86,22.6,2,5.8,182
2026-06-03,Brazil,Rio de Janeiro,21.5,80,23.2,0,8.0,118
2026-06-04,Brazil,Rio de Janeiro,21.9,72,22.4,3,12.2,133
2026-06-05,Brazil,Rio de Janeiro,21.1,67,21.7,0,6.9,113
2026-06-06,Brazil,Rio de Janeiro,20.3,70,21.0,0,6.0,7
2026-06-07,Brazil,Rio de Janeiro,23.7,57,25.6,1,3.6,177
2026-06-08,Brazil,Rio de Janeiro,22.5,62,22.4,0,11.5,120
2026-06-09,Brazil,Rio de Janeiro,27.0,47,28.3,3,2.2,275
2026-06-10,Brazil,Rio de Janeiro,22.5,78,24.5,0,7.3,164
2026-06-11,Brazil,Rio de Janeiro,21.4,89,24.4,3,4.5,50
2026-06-12,Brazil,Rio de Janeiro,25.3,78,28.8,3,6.9,133
2026-06-13,Brazil,Rio de Janeiro,25.4,70,28.1,3,6.5,222
2026-06-14,Brazil,Rio de Janeiro,20.9,89,23.9,3,2.7,318
2026-06-15,Brazil,Rio de Janeiro,22.1,88,24.1,53,12.5,224
2026-06-16,Brazil,Rio de Janeiro,20.3,94,21.9,51,13.2,160
2026-06-17,Brazil,Rio de Janeiro,19.3,92,21.4,2,5.8,277
2026-06-18,Brazil,Rio de Janeiro,20.3,72,21.3,1,5.2,290
2026-06-19,Brazil,Rio de Janeiro,19.0,77,19.9,1,5.0,2
2026-06-20,Brazil,Rio de Janeiro,18.8,81,18.8,3,12.5,353
2026-06-21,Brazil,Rio de Janeiro,21.1,89,22.8,51,12.5,226
2026-06-22,Brazil,Rio de Janeiro,23.2,75,26.4,0,3.8,31
2026-06-23,Brazil,Rio de Janeiro,22.6,74,23.7,0,11.6,354
2026-06-24,Brazil,Rio de Janeiro,21.1,94,24.3,3,4.7,261
2026-06-25,Brazil,Rio de Janeiro,19.4,96,21.2,51,9.4,175
2026-06-26,Brazil,Rio de Janeiro,20.1,98,22.7,51,7.3,40
2026-06-27,Brazil,Rio de Janeiro,20.3,98,24.0,2,1.4,293
2026-06-29,Brazil,Rio de Janeiro,23.9,70,25.3,0,10.5,3
2026-06-30,Brazil,Rio de Janeiro,20.3,96,22.7,3,8.9,6
2026-07-01,Brazil,Rio de Janeiro,23.5,82,26.5,0,6.5,360
2026-07-02,Brazil,Rio de Janeiro,22.5,87,25.3,0,7.6,352
2026-07-03,Brazil,Rio de Janeiro,21.6,90,24.6,0,5.2,335
2026-07-04,Brazil,Rio de Janeiro,20.8,91,23.5,51,5.9,252
