date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Brazil,Sao Paulo,24.6,53,24.8,1,8.3,294
2026-05-17,Brazil,Sao Paulo,19.2,92,21.9,3,1.1,108
2026-05-17,Brazil,Sao Paulo,21.4,80,24.0,3,1.5,60
2026-05-17,Brazil,Sao Paulo,23.2,70,25.1,3,5.6,22
2026-05-18,Brazil,Sao Paulo,19.8,81,20.7,51,9.4,239
2026-05-19,Brazil,Sao Paulo,18.0,82,19.0,3,4.5,187
2026-05-20,Brazil,Sao Paulo,20.5,70,21.4,2,4.3,270
2026-05-21,Brazil,Sao Paulo,17.1,75,16.4,51,10.8,143
2026-05-22,Brazil,Sao Paulo,15.1,85,14.4,3,10.7,125
2026-05-23,Brazil,Sao Paulo,15.1,97,15.5,55,7.7,81
2026-05-24,Brazil,Sao Paulo,16.9,93,18.7,3,1.0,121
2026-05-25,Brazil,Sao Paulo,22.6,64,24.0,1,2.7,122
2026-05-26,Brazil,Sao Paulo,23.9,63,24.8,3,8.9,317
2026-05-27,Brazil,Sao Paulo,20.1,79,21.0,53,9.6,164
2026-05-28,Brazil,Sao Paulo,19.2,58,18.6,0,6.6,159
2026-05-29,Brazil,Sao Paulo,19.6,59,18.8,0,8.7,138
2026-05-30,Brazil,Sao Paulo,17.0,83,17.7,3,4.2,80
2026-05-31,Brazil,Sao Paulo,18.6,69,19.3,3,1.8,191
2026-06-01,Brazil,Sao Paulo,14.9,86,14.3,0,9.1,148
2026-06-02,Brazil,Sao Paulo,16.4,73,15.2,0,11.1,155
2026-06-03,Brazil,Sao Paulo,16.8,84,16.4,2,11.6,143
2026-06-04,Brazil,Sao Paulo,21.6,51,20.6,2,8.5,111
2026-06-05,Brazil,Sao Paulo,20.4,46,19.3,0,4.7,99
2026-06-06,Brazil,Sao Paulo,15.6,68,15.5,0,0.3,45
2026-06-07,Brazil,Sao Paulo,20.9,37,20.5,3,2.6,258
2026-06-08,Brazil,Sao Paulo,23.0,32,20.5,0,9.2,325
2026-06-09,Brazil,Sao Paulo,23.1,34,20.2,2,13.3,291
2026-06-10,Brazil,Sao Paulo,24.5,34,23.5,3,2.7,262
2026-06-11,Brazil,Sao Paulo,20.8,65,21.1,0,6.7,262
2026-06-12,Brazil,Sao Paulo,19.1,79,17.5,3,22.9,333
2026-06-13,Brazil,Sao Paulo,20.6,70,19.6,51,17.8,298
2026-06-14,Brazil,Sao Paulo,16.7,93,17.5,3,7.9,340
2026-06-15,Brazil,Sao Paulo,16.7,87,16.9,3,8.4,146
2026-06-16,Brazil,Sao Paulo,15.9,85,16.1,3,5.5,142
2026-06-17,Brazil,Sao Paulo,13.4,87,13.7,2,0.5,225
2026-06-18,Brazil,Sao Paulo,12.2,82,10.7,2,9.0,112
2026-06-19,Brazil,Sao Paulo,13.7,77,13.1,1,4.0,80
2026-06-20,Brazil,Sao Paulo,15.0,76,14.2,3,7.2,13
2026-06-21,Brazil,Sao Paulo,13.0,89,12.7,3,4.5,277
2026-06-22,Brazil,Sao Paulo,22.9,43,21.5,0,12.7,339
2026-06-23,Brazil,Sao Paulo,18.4,78,19.0,3,5.7,314
2026-06-24,Brazil,Sao Paulo,12.4,95,11.5,80,9.8,160
2026-06-25,Brazil,Sao Paulo,11.3,96,10.2,3,8.4,132
2026-06-26,Brazil,Sao Paulo,13.7,96,13.8,3,6.0,87
