date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Canada,Montreal,22.4,28,17.4,3,23.6,231
2026-05-17,Canada,Montreal,16.2,82,14.8,0,16.9,270
2026-05-17,Canada,Montreal,16.7,77,15.2,0,16.5,286
2026-05-17,Canada,Montreal,17.8,65,16.5,0,17.7,290
2026-05-18,Canada,Montreal,14.3,87,13.7,2,10.8,30
2026-05-19,Canada,Montreal,27.4,55,28.1,0,24.8,229
2026-05-20,Canada,Montreal,21.5,43,18.2,0,30.6,269
2026-05-21,Canada,Montreal,12.4,39,11.4,0,7.8,283
2026-05-22,Canada,Montreal,17.3,29,16.9,0,5.1,278
2026-05-23,Canada,Montreal,12.0,63,10.3,3,3.4,72
2026-05-24,Canada,Montreal,10.5,87,7.4,53,18.6,131
2026-05-25,Canada,Montreal,14.3,95,13.9,3,10.8,233
2026-05-26,Canada,Montreal,27.1,43,26.4,0,24.0,221
2026-05-27,Canada,Montreal,22.4,47,21.8,1,9.2,281
2026-05-28,Canada,Montreal,17.2,59,17.3,3,7.8,292
