date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Canada,Ottawa,20.8,39,17.0,3,19.7,198
2026-05-17,Canada,Ottawa,15.5,64,12.7,0,16.4,331
2026-05-17,Canada,Ottawa,16.4,67,14.4,0,14.3,317
2026-05-17,Canada,Ottawa,18.2,54,16.9,0,12.3,322
2026-05-18,Canada,Ottawa,14.8,89,14.8,1,12.6,85
2026-05-19,Canada,Ottawa,27.4,53,27.2,1,20.5,218
2026-05-20,Canada,Ottawa,18.6,39,15.6,0,23.3,279
2026-05-21,Canada,Ottawa,12.7,33,10.2,0,14.8,317
2026-05-22,Canada,Ottawa,17.6,30,17.5,0,4.0,90
2026-05-23,Canada,Ottawa,11.6,68,8.7,3,13.0,71
2026-05-24,Canada,Ottawa,10.8,90,8.4,3,15.2,104
2026-05-25,Canada,Ottawa,17.4,83,17.1,2,15.1,273
2026-05-26,Canada,Ottawa,28.5,37,26.6,0,28.3,221
2026-05-27,Canada,Ottawa,22.8,39,21.9,1,15.8,311
2026-05-28,Canada,Ottawa,18.2,50,14.5,3,20.5,332
