date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Canada,Vancouver,11.9,66,7.9,3,20.5,294
2026-05-17,Canada,Vancouver,6.9,83,4.4,0,7.2,143
2026-05-17,Canada,Vancouver,6.5,85,4.1,0,7.4,141
2026-05-17,Canada,Vancouver,9.0,87,7.7,1,3.7,101
2026-05-18,Canada,Vancouver,14.3,72,14.2,0,6.5,146
2026-05-19,Canada,Vancouver,14.0,75,13.0,3,6.8,155
2026-05-20,Canada,Vancouver,15.1,69,14.6,0,10.8,296
2026-05-21,Canada,Vancouver,16.2,76,16.5,1,7.7,307
2026-05-22,Canada,Vancouver,17.4,72,18.3,0,1.8,169
2026-05-23,Canada,Vancouver,12.6,89,12.6,0,1.5,135
2026-05-24,Canada,Vancouver,9.7,85,8.0,0,6.7,106
2026-05-25,Canada,Vancouver,12.2,73,9.0,3,17.4,114
2026-05-26,Canada,Vancouver,13.3,86,12.9,3,4.8,153
2026-05-27,Canada,Vancouver,15.6,85,15.3,1,12.4,306
2026-05-28,Canada,Vancouver,19.0,82,21.1,0,9.5,307
2026-05-29,Canada,Vancouver,13.7,68,10.4,3,18.9,291
2026-05-30,Canada,Vancouver,8.6,78,6.6,2,5.3,118
2026-05-31,Canada,Vancouver,11.1,76,9.3,0,7.0,125
2026-06-01,Canada,Vancouver,21.2,47,20.3,0,16.9,290
2026-06-02,Canada,Vancouver,23.7,34,23.4,0,10.8,307
2026-06-03,Canada,Vancouver,21.4,40,19.6,3,7.3,281
2026-06-04,Canada,Vancouver,14.9,76,14.5,2,3.9,112
2026-06-05,Canada,Vancouver,12.8,77,10.1,3,16.6,181
2026-06-06,Canada,Vancouver,8.5,90,6.2,1,10.5,117
2026-06-07,Canada,Vancouver,11.8,89,10.9,2,6.2,111
2026-06-08,Canada,Vancouver,16.4,55,15.0,3,11.1,115
2026-06-09,Canada,Vancouver,14.3,81,12.9,2,11.7,252
2026-06-10,Canada,Vancouver,14.5,66,12.7,0,19.0,285
2026-06-11,Canada,Vancouver,17.5,55,17.7,0,10.4,304
2026-06-12,Canada,Vancouver,17.0,71,17.5,3,7.8,304
2026-06-13,Canada,Vancouver,17.0,77,17.1,0,5.4,307
2026-06-14,Canada,Vancouver,15.6,72,15.2,0,3.8,229
2026-06-15,Canada,Vancouver,19.6,76,21.0,3,2.2,189
2026-06-16,Canada,Vancouver,14.4,77,13.9,0,4.3,175
2026-06-17,Canada,Vancouver,12.8,86,12.1,0,5.4,160
2026-06-18,Canada,Vancouver,11.6,85,10.9,0,3.3,139
2026-06-19,Canada,Vancouver,14.1,83,13.2,0,9.3,306
2026-06-20,Canada,Vancouver,13.9,72,9.8,0,26.2,291
2026-06-21,Canada,Vancouver,13.1,69,11.3,0,7.9,150
2026-06-22,Canada,Vancouver,17.4,74,17.2,0,7.3,303
2026-06-23,Canada,Vancouver,15.2,69,14.3,0,5.5,281
2026-06-24,Canada,Vancouver,16.8,81,17.2,3,4.4,305
2026-06-25,Canada,Vancouver,15.1,64,13.3,3,9.5,115
2026-06-26,Canada,Vancouver,13.9,88,13.0,2,10.4,146
2026-06-27,Canada,Vancouver,10.5,90,9.1,1,7.6,121
2026-06-29,Canada,Vancouver,12.6,87,12.4,0,2.9,277
2026-06-30,Canada,Vancouver,12.4,89,11.7,3,6.1,180
