date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Chile,Easter Island,21.6,68,20.9,3,18.7,286
2026-05-17,Chile,Easter Island,18.6,79,19.4,3,5.4,228
2026-05-17,Chile,Easter Island,18.3,79,19.0,3,5.5,226
2026-05-17,Chile,Easter Island,18.6,78,19.3,3,5.9,230
2026-05-18,Chile,Easter Island,21.0,66,20.0,3,16.8,357
2026-05-19,Chile,Easter Island,22.5,79,21.3,3,29.9,335
2026-05-20,Chile,Easter Island,20.0,77,19.7,51,15.3,120
2026-05-21,Chile,Easter Island,20.6,65,19.0,0,19.5,126
2026-05-22,Chile,Easter Island,20.0,73,19.7,51,13.2,68
2026-05-23,Chile,Easter Island,18.3,80,18.7,0,7.4,26
2026-05-24,Chile,Easter Island,21.2,86,20.1,3,29.5,294
