date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Chile,Puerto Montt,9.0,68,4.3,2,21.5,176
2026-05-17,Chile,Puerto Montt,5.2,97,2.9,1,7.6,179
2026-05-17,Chile,Puerto Montt,6.0,93,3.4,2,9.5,182
2026-05-17,Chile,Puerto Montt,7.0,86,4.1,2,11.5,178
2026-05-18,Chile,Puerto Montt,10.1,78,7.0,1,15.2,170
2026-05-19,Chile,Puerto Montt,10.4,77,8.2,0,9.0,168
2026-05-20,Chile,Puerto Montt,17.1,46,13.9,0,14.7,217
2026-05-21,Chile,Puerto Montt,16.9,50,14.9,0,7.0,235
2026-05-22,Chile,Puerto Montt,12.8,67,11.5,0,3.6,229
2026-05-23,Chile,Puerto Montt,6.7,97,4.5,3,8.0,335
2026-05-24,Chile,Puerto Montt,10.8,75,6.8,3,21.3,3
2026-05-25,Chile,Puerto Montt,15.6,63,14.9,3,1.5,216
2026-05-26,Chile,Puerto Montt,15.5,58,14.1,3,5.1,207
2026-05-27,Chile,Puerto Montt,16.5,57,14.5,2,10.2,332
2026-05-28,Chile,Puerto Montt,14.2,82,10.4,3,29.2,9
2026-05-29,Chile,Puerto Montt,15.4,72,15.2,3,1.8,204
2026-05-30,Chile,Puerto Montt,9.1,99,7.2,3,11.1,187
2026-05-31,Chile,Puerto Montt,9.1,99,8.5,3,2.9,277
2026-06-01,Chile,Puerto Montt,12.3,85,10.2,53,14.2,9
2026-06-02,Chile,Puerto Montt,16.9,67,13.6,51,23.9,10
2026-06-03,Chile,Puerto Montt,13.6,76,12.3,0,7.7,1
2026-06-04,Chile,Puerto Montt,13.6,58,11.4,0,7.9,215
2026-06-05,Chile,Puerto Montt,14.5,70,13.4,3,6.1,289
2026-06-06,Chile,Puerto Montt,8.2,98,7.3,3,2.5,278
2026-06-07,Chile,Puerto Montt,9.2,95,8.1,3,4.5,277
2026-06-08,Chile,Puerto Montt,13.0,74,11.6,3,6.2,316
2026-06-09,Chile,Puerto Montt,10.8,95,7.0,51,25.9,6
2026-06-10,Chile,Puerto Montt,10.4,86,7.5,61,16.4,9
2026-06-11,Chile,Puerto Montt,10.0,97,7.1,51,18.7,346
2026-06-12,Chile,Puerto Montt,9.2,56,5.5,3,11.6,185
2026-06-13,Chile,Puerto Montt,7.0,61,2.4,0,17.3,175
2026-06-14,Chile,Puerto Montt,6.5,77,1.6,1,21.6,169
2026-06-15,Chile,Puerto Montt,8.3,84,4.7,3,16.9,173
2026-06-16,Chile,Puerto Montt,6.1,83,2.8,1,12.5,160
2026-06-17,Chile,Puerto Montt,3.6,98,1.1,2,6.7,286
