date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Chile,Punta Arenas,7.6,75,1.3,3,32.8,267
2026-05-17,Chile,Punta Arenas,6.3,84,-0.3,3,35.3,269
2026-05-17,Chile,Punta Arenas,6.5,84,-0.1,3,35.6,269
2026-05-17,Chile,Punta Arenas,6.8,85,0.5,3,33.7,272
2026-05-18,Chile,Punta Arenas,8.8,67,2.7,3,30.7,262
2026-05-19,Chile,Punta Arenas,10.5,74,7.5,3,13.9,232
2026-05-20,Chile,Punta Arenas,10.1,76,8.2,0,6.5,293
2026-05-21,Chile,Punta Arenas,10.2,54,7.1,3,8.0,280
2026-05-22,Chile,Punta Arenas,8.9,80,7.7,3,1.0,22
2026-05-23,Chile,Punta Arenas,4.2,98,1.8,3,6.4,63
2026-05-24,Chile,Punta Arenas,5.7,89,3.9,3,2.9,281
2026-05-25,Chile,Punta Arenas,5.8,79,2.9,3,7.9,291
2026-05-26,Chile,Punta Arenas,6.2,71,3.6,0,5.2,176
2026-05-27,Chile,Punta Arenas,4.1,97,-0.6,3,21.7,53
2026-05-28,Chile,Punta Arenas,7.3,86,2.9,3,21.8,30
2026-05-29,Chile,Punta Arenas,7.7,97,5.6,3,9.3,289
2026-05-30,Chile,Punta Arenas,5.6,97,3.0,53,9.6,206
2026-05-31,Chile,Punta Arenas,4.8,99,3.2,3,2.4,144
2026-06-01,Chile,Punta Arenas,3.0,92,-1.3,1,17.5,53
2026-06-02,Chile,Punta Arenas,4.9,98,2.2,3,10.2,67
2026-06-03,Chile,Punta Arenas,7.0,80,3.7,0,12.7,281
2026-06-04,Chile,Punta Arenas,8.9,72,6.5,0,7.1,7
2026-06-05,Chile,Punta Arenas,5.0,98,2.8,3,5.9,92
2026-06-06,Chile,Punta Arenas,2.1,95,-0.8,0,6.5,257
2026-06-07,Chile,Punta Arenas,5.6,89,2.4,3,12.0,334
2026-06-08,Chile,Punta Arenas,8.1,68,5.3,3,7.5,21
2026-06-09,Chile,Punta Arenas,7.0,70,2.4,1,19.6,314
2026-06-10,Chile,Punta Arenas,4.1,72,-2.1,3,27.4,243
2026-06-11,Chile,Punta Arenas,2.1,95,-2.3,73,17.2,115
2026-06-12,Chile,Punta Arenas,2.3,76,-3.4,0,23.3,228
2026-06-13,Chile,Punta Arenas,3.5,91,-3.0,53,32.8,296
2026-06-14,Chile,Punta Arenas,6.8,79,-0.1,3,36.6,261
2026-06-15,Chile,Punta Arenas,6.3,81,-0.2,3,34.5,274
2026-06-16,Chile,Punta Arenas,1.6,74,-3.8,0,20.0,237
2026-06-17,Chile,Punta Arenas,2.5,92,-1.6,3,15.2,10
2026-06-18,Chile,Punta Arenas,3.3,96,0.0,3,11.3,269
2026-06-19,Chile,Punta Arenas,3.0,99,-0.5,3,13.0,37
2026-06-20,Chile,Punta Arenas,4.0,96,0.5,3,13.3,172
2026-06-21,Chile,Punta Arenas,5.3,83,1.2,3,17.0,275
2026-06-22,Chile,Punta Arenas,6.5,76,-0.2,3,34.6,297
2026-06-23,Chile,Punta Arenas,0.9,87,-1.8,3,2.9,259
2026-06-24,Chile,Punta Arenas,4.5,89,0.5,3,16.3,281
2026-06-25,Chile,Punta Arenas,1.9,89,-2.1,3,13.5,27
2026-06-26,Chile,Punta Arenas,3.0,85,-3.2,51,28.7,303
2026-06-27,Chile,Punta Arenas,4.5,82,-0.6,3,22.2,308
2026-06-29,Chile,Punta Arenas,4.0,96,-2.4,51,32.9,292
2026-06-30,Chile,Punta Arenas,1.4,69,-5.4,1,28.4,232
2026-07-01,Chile,Punta Arenas,3.7,74,-1.6,3,21.3,286
2026-07-02,Chile,Punta Arenas,3.6,93,0.7,2,8.6,311
2026-07-03,Chile,Punta Arenas,2.8,84,-0.6,3,9.0,255
2026-07-04,Chile,Punta Arenas,-0.3,92,-3.1,3,3.5,282
