date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Chile,Santiago,17.6,43,15.8,0,3.6,183
2026-05-17,Chile,Santiago,5.9,42,2.9,0,1.3,98
2026-05-17,Chile,Santiago,8.0,49,5.2,0,2.5,94
2026-05-17,Chile,Santiago,13.2,41,11.0,0,0.8,297
2026-05-18,Chile,Santiago,21.0,23,18.8,0,3.0,197
2026-05-19,Chile,Santiago,20.0,31,18.2,0,2.2,235
2026-05-20,Chile,Santiago,16.9,37,14.7,3,2.7,250
2026-05-21,Chile,Santiago,13.2,58,11.3,0,4.7,230
2026-05-22,Chile,Santiago,13.9,54,12.3,0,3.9,254
2026-05-23,Chile,Santiago,5.2,86,3.4,3,1.3,225
2026-05-24,Chile,Santiago,6.6,49,3.8,3,0.9,53
2026-05-25,Chile,Santiago,19.4,22,17.0,0,0.9,53
2026-05-26,Chile,Santiago,25.8,10,21.9,0,5.5,218
2026-05-27,Chile,Santiago,16.3,50,14.0,3,8.6,219
2026-05-28,Chile,Santiago,17.3,45,15.5,1,4.5,277
2026-05-29,Chile,Santiago,21.4,25,18.8,3,4.0,219
2026-05-30,Chile,Santiago,13.6,29,10.9,0,0.7,76
2026-05-31,Chile,Santiago,11.1,74,9.7,3,3.1,280
2026-06-01,Chile,Santiago,12.2,85,11.9,3,1.9,229
2026-06-02,Chile,Santiago,18.9,36,17.0,3,2.8,243
2026-06-03,Chile,Santiago,16.6,47,15.1,3,2.4,318
2026-06-04,Chile,Santiago,23.4,18,20.7,2,2.0,275
2026-06-05,Chile,Santiago,15.0,62,13.8,3,3.6,237
2026-06-06,Chile,Santiago,8.2,83,7.0,3,0.4,333
2026-06-07,Chile,Santiago,13.6,30,10.9,0,0.7,256
2026-06-08,Chile,Santiago,19.9,19,16.4,3,5.7,217
2026-06-09,Chile,Santiago,10.1,81,8.1,3,8.7,202
2026-06-10,Chile,Santiago,10.8,76,9.4,51,3.7,39
2026-06-11,Chile,Santiago,16.9,25,14.1,3,1.5,249
2026-06-12,Chile,Santiago,18.2,28,15.5,3,3.1,329
2026-06-13,Chile,Santiago,13.9,40,11.5,2,2.0,10
2026-06-14,Chile,Santiago,11.1,31,8.2,3,0.6,108
2026-06-15,Chile,Santiago,15.2,29,12.5,3,0.7,284
2026-06-16,Chile,Santiago,13.2,29,10.3,3,1.0,121
2026-06-17,Chile,Santiago,10.3,52,7.3,3,6.2,224
2026-06-18,Chile,Santiago,8.4,76,6.7,3,2.2,99
2026-06-19,Chile,Santiago,7.2,35,4.0,3,1.3,90
2026-06-20,Chile,Santiago,7.4,70,5.4,2,1.5,21
2026-06-21,Chile,Santiago,6.9,97,5.9,3,0.6,162
2026-06-22,Chile,Santiago,6.5,32,3.2,0,0.7,104
2026-06-23,Chile,Santiago,1.8,43,-1.7,0,1.7,122
2026-06-24,Chile,Santiago,7.2,27,3.5,3,2.5,159
2026-06-25,Chile,Santiago,4.3,39,1.0,0,1.1,99
2026-06-26,Chile,Santiago,5.3,31,1.8,0,1.3,90
2026-06-27,Chile,Santiago,5.6,58,3.1,0,0.4,180
2026-06-29,Chile,Santiago,7.9,27,4.3,0,2.7,62
2026-06-30,Chile,Santiago,4.3,26,0.7,0,1.1,90
2026-07-01,Chile,Santiago,2.7,47,-0.5,0,0.9,53
2026-07-02,Chile,Santiago,2.1,83,-0.2,0,0.5,45
2026-07-03,Chile,Santiago,2.8,74,0.3,0,0.6,108
2026-07-04,Chile,Santiago,3.8,43,0.3,0,2.6,65
2026-07-05,Chile,Santiago,4.2,75,1.3,1,5.8,64
2026-07-06,Chile,Santiago,5.5,17,1.3,0,3.1,87
2026-07-07,Chile,Santiago,10.5,13,6.6,0,1.6,96
2026-07-08,Chile,Santiago,13.8,19,10.3,3,1.9,68
