date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Chile,Valparaiso,14.0,67,10.3,0,21.6,198
2026-05-17,Chile,Valparaiso,7.1,87,5.8,0,1.1,108
2026-05-17,Chile,Valparaiso,9.1,84,8.0,0,1.7,108
2026-05-17,Chile,Valparaiso,11.9,79,11.2,0,1.6,297
2026-05-18,Chile,Valparaiso,14.7,77,13.7,1,7.9,246
2026-05-19,Chile,Valparaiso,13.2,79,11.7,1,9.1,255
2026-05-20,Chile,Valparaiso,12.7,82,11.4,3,8.1,253
2026-05-21,Chile,Valparaiso,13.1,76,11.1,3,11.4,357
2026-05-22,Chile,Valparaiso,12.2,77,10.6,2,7.9,254
2026-05-23,Chile,Valparaiso,8.9,89,7.8,3,2.2,85
2026-05-24,Chile,Valparaiso,8.5,79,6.7,3,3.8,199
2026-05-25,Chile,Valparaiso,20.0,50,18.3,2,11.0,214
2026-05-26,Chile,Valparaiso,16.1,76,15.3,0,9.4,360
2026-05-27,Chile,Valparaiso,16.0,72,14.4,3,12.8,11
2026-05-28,Chile,Valparaiso,18.0,69,16.6,0,14.3,226
2026-05-29,Chile,Valparaiso,18.1,64,16.7,3,11.9,207
2026-05-30,Chile,Valparaiso,10.2,87,9.3,1,2.8,40
2026-05-31,Chile,Valparaiso,13.8,83,12.6,3,9.6,30
2026-06-01,Chile,Valparaiso,12.8,86,11.7,3,8.5,215
2026-06-02,Chile,Valparaiso,15.3,77,14.4,3,8.3,231
2026-06-03,Chile,Valparaiso,18.1,72,15.9,3,21.3,192
2026-06-04,Chile,Valparaiso,17.2,77,15.3,3,19.9,33
2026-06-05,Chile,Valparaiso,14.6,86,13.8,3,10.8,21
2026-06-06,Chile,Valparaiso,12.6,92,12.6,3,2.6,106
2026-06-07,Chile,Valparaiso,17.4,59,15.5,0,11.4,211
2026-06-08,Chile,Valparaiso,14.9,74,13.4,3,11.0,215
2026-06-09,Chile,Valparaiso,14.5,78,12.8,51,13.3,358
2026-06-10,Chile,Valparaiso,13.9,86,13.3,51,7.7,16
2026-06-11,Chile,Valparaiso,15.5,74,13.6,3,14.9,199
2026-06-12,Chile,Valparaiso,17.2,70,15.2,3,17.3,205
2026-06-13,Chile,Valparaiso,15.6,73,15.4,2,3.2,313
2026-06-14,Chile,Valparaiso,9.7,89,9.1,2,0.9,101
2026-06-15,Chile,Valparaiso,12.7,91,12.5,3,3.5,294
2026-06-16,Chile,Valparaiso,10.7,95,10.0,3,4.6,39
2026-06-17,Chile,Valparaiso,11.1,95,9.5,3,11.8,71
2026-06-18,Chile,Valparaiso,12.5,93,11.5,53,10.0,49
2026-06-19,Chile,Valparaiso,12.3,83,11.9,3,1.7,162
2026-06-20,Chile,Valparaiso,9.9,94,8.2,1,9.4,163
2026-06-21,Chile,Valparaiso,9.0,72,5.5,0,14.7,173
2026-06-22,Chile,Valparaiso,12.8,53,8.8,0,17.0,185
2026-06-23,Chile,Valparaiso,8.0,68,2.9,0,23.2,182
2026-06-24,Chile,Valparaiso,10.3,56,5.4,2,20.9,182
2026-06-25,Chile,Valparaiso,13.2,40,8.8,0,15.3,176
2026-06-26,Chile,Valparaiso,12.0,58,7.0,1,25.0,180
2026-06-27,Chile,Valparaiso,9.2,87,5.2,0,22.0,176
2026-06-29,Chile,Valparaiso,11.6,42,6.0,0,22.5,180
2026-06-30,Chile,Valparaiso,8.3,66,4.9,0,11.1,171
2026-07-01,Chile,Valparaiso,6.7,59,3.2,0,8.9,153
2026-07-02,Chile,Valparaiso,6.0,83,3.1,0,8.6,154
2026-07-03,Chile,Valparaiso,6.2,76,3.3,0,7.4,151
2026-07-04,Chile,Valparaiso,7.6,68,3.8,0,14.0,81
2026-07-05,Chile,Valparaiso,9.5,73,6.9,0,9.1,111
2026-07-06,Chile,Valparaiso,12.3,34,9.6,0,0.9,169
2026-07-07,Chile,Valparaiso,7.4,64,4.9,1,3.6,120
2026-07-08,Chile,Valparaiso,10.4,65,8.7,3,1.9,248
2026-07-09,Chile,Valparaiso,13.6,49,11.3,2,4.5,146
2026-07-10,Chile,Valparaiso,13.1,89,11.6,53,12.8,174
2026-07-11,Chile,Valparaiso,13.3,90,11.8,2,14.0,181
2026-07-12,Chile,Valparaiso,12.0,87,11.8,3,1.3,188
2026-07-13,Chile,Valparaiso,10.4,83,8.9,2,5.7,139
2026-07-14,Chile,Valparaiso,11.0,93,9.0,3,13.2,68
2026-07-15,Chile,Valparaiso,11.6,88,9.4,3,14.5,56
2026-07-16,Chile,Valparaiso,13.1,95,9.2,51,31.6,11
2026-07-17,Chile,Valparaiso,13.3,97,8.9,81,36.2,358
