date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,China,Beijing,18.0,92,19.9,51,3.5,28
2026-05-17,China,Beijing,18.8,95,20.3,65,9.4,5
2026-05-17,China,Beijing,18.8,92,20.2,63,8.6,348
2026-05-17,China,Beijing,18.1,95,19.6,63,8.5,358
2026-05-18,China,Beijing,18.1,86,19.8,3,1.8,204
2026-05-19,China,Beijing,18.0,87,19.2,3,5.8,95
2026-05-20,China,Beijing,16.4,89,17.2,0,5.2,214
2026-05-21,China,Beijing,19.6,81,20.5,3,9.1,190
2026-05-22,China,Beijing,14.8,99,15.6,0,4.5,146
2026-05-23,China,Beijing,23.2,82,26.1,2,7.2,179
2026-05-24,China,Beijing,24.9,74,27.5,3,8.5,128
