date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,China,Chengdu,21.0,87,24.3,3,0.4,63
2026-05-17,China,Chengdu,25.0,74,27.9,3,6.9,332
2026-05-17,China,Chengdu,24.9,74,27.5,3,9.1,333
2026-05-17,China,Chengdu,23.1,79,25.4,3,9.0,323
2026-05-18,China,Chengdu,20.7,95,23.5,51,6.5,210
2026-05-19,China,Chengdu,20.5,81,22.3,0,5.1,198
2026-05-20,China,Chengdu,24.1,72,27.0,1,2.5,82
2026-05-21,China,Chengdu,23.0,86,25.8,2,9.1,58
2026-05-22,China,Chengdu,25.6,77,29.6,3,3.5,305
2026-05-23,China,Chengdu,26.9,76,30.8,2,7.8,81
