date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,China,Guangzhou,23.2,82,25.1,1,13.6,101
2026-05-17,China,Guangzhou,24.9,81,27.4,1,13.9,126
2026-05-17,China,Guangzhou,24.6,79,26.9,3,13.2,120
2026-05-17,China,Guangzhou,24.4,78,26.3,3,13.9,126
2026-05-18,China,Guangzhou,23.5,95,27.3,3,10.3,117
2026-05-19,China,Guangzhou,23.8,98,28.2,3,9.4,142
2026-05-20,China,Guangzhou,23.8,99,28.0,53,10.7,149
2026-05-21,China,Guangzhou,25.0,97,30.6,3,6.5,146
2026-05-22,China,Guangzhou,26.3,95,31.8,3,9.9,179
2026-05-23,China,Guangzhou,27.6,86,32.5,3,12.7,165
2026-05-24,China,Guangzhou,28.7,84,33.9,3,13.7,164
2026-05-25,China,Guangzhou,27.0,94,32.8,0,10.7,173
2026-05-26,China,Guangzhou,27.1,95,33.5,95,8.7,175
2026-05-27,China,Guangzhou,27.2,94,33.8,95,6.7,182
2026-05-28,China,Guangzhou,27.8,90,34.6,95,4.7,189
2026-05-29,China,Guangzhou,25.5,94,31.1,55,6.1,32
2026-05-30,China,Guangzhou,28.2,83,34.0,0,6.0,260
2026-05-31,China,Guangzhou,27.2,90,33.4,0,6.2,168
