date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,China,Hangzhou,18.7,89,20.0,3,7.7,118
2026-05-17,China,Hangzhou,24.6,57,23.8,2,18.4,127
2026-05-17,China,Hangzhou,23.5,63,23.0,3,17.5,130
2026-05-17,China,Hangzhou,22.1,67,21.8,2,15.9,138
2026-05-18,China,Hangzhou,23.1,60,23.8,3,7.2,155
2026-05-19,China,Hangzhou,23.4,97,28.0,3,4.9,186
2026-05-20,China,Hangzhou,23.5,94,27.6,3,7.4,326
2026-05-21,China,Hangzhou,20.5,95,22.9,3,8.3,76
2026-05-22,China,Hangzhou,23.8,96,28.6,3,5.0,182
2026-05-23,China,Hangzhou,26.4,89,32.5,3,1.5,21
2026-05-24,China,Hangzhou,25.1,98,31.5,55,2.3,39
2026-05-25,China,Hangzhou,26.8,95,33.6,3,3.8,188
2026-05-26,China,Hangzhou,24.4,86,27.3,2,13.2,326
2026-05-27,China,Hangzhou,24.1,84,27.5,3,7.4,360
2026-05-28,China,Hangzhou,22.4,86,25.8,0,2.9,281
