date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,China,Shanghai,19.4,89,20.4,0,10.9,136
2026-05-17,China,Shanghai,22.2,70,22.4,1,14.3,139
2026-05-17,China,Shanghai,21.7,70,21.9,0,13.4,143
2026-05-17,China,Shanghai,21.0,78,21.3,3,14.6,146
2026-05-18,China,Shanghai,21.4,79,21.7,3,16.1,158
2026-05-19,China,Shanghai,22.6,87,25.2,2,10.0,165
2026-05-20,China,Shanghai,22.6,92,26.1,3,7.5,303
2026-05-21,China,Shanghai,17.8,96,19.6,0,4.5,95
2026-05-22,China,Shanghai,20.8,93,23.0,3,10.1,140
2026-05-23,China,Shanghai,24.9,86,29.0,3,7.5,111
2026-05-24,China,Shanghai,23.1,96,26.7,51,10.8,133
2026-05-25,China,Shanghai,24.9,95,30.0,3,6.9,157
2026-05-26,China,Shanghai,23.2,85,25.7,3,11.9,293
2026-05-27,China,Shanghai,22.7,94,27.1,3,2.4,153
2026-05-28,China,Shanghai,21.2,93,24.4,0,4.4,9
2026-05-29,China,Shanghai,18.5,89,20.5,0,2.0,315
2026-05-30,China,Shanghai,20.6,73,21.3,0,7.8,109
2026-05-31,China,Shanghai,20.0,77,20.9,0,7.9,114
2026-06-01,China,Shanghai,22.7,95,27.2,1,2.5,291
2026-06-02,China,Shanghai,23.3,90,27.1,0,6.4,135
2026-06-03,China,Shanghai,24.0,97,29.2,53,4.3,275
2026-06-04,China,Shanghai,23.2,97,27.6,3,6.0,33
2026-06-05,China,Shanghai,20.1,82,21.4,3,7.2,94
2026-06-06,China,Shanghai,20.9,84,23.3,0,3.9,47
2026-06-07,China,Shanghai,20.2,87,21.9,1,8.3,18
2026-06-08,China,Shanghai,19.4,84,20.6,3,6.8,331
2026-06-09,China,Shanghai,17.2,91,19.1,0,0.5,270
2026-06-10,China,Shanghai,20.3,88,22.4,3,5.5,167
2026-06-11,China,Shanghai,22.6,65,23.2,2,9.6,172
2026-06-12,China,Shanghai,24.4,68,26.0,3,9.3,171
2026-06-13,China,Shanghai,21.2,88,22.9,51,12.1,145
2026-06-14,China,Shanghai,21.8,96,24.7,61,10.1,68
2026-06-15,China,Shanghai,22.2,90,24.7,2,10.6,60
2026-06-16,China,Shanghai,23.4,94,27.7,1,5.6,15
2026-06-17,China,Shanghai,24.9,90,29.6,3,5.8,112
2026-06-18,China,Shanghai,24.1,89,27.9,3,8.0,113
2026-06-19,China,Shanghai,26.2,90,30.2,95,16.8,218
2026-06-20,China,Shanghai,25.9,88,31.0,2,6.3,87
2026-06-21,China,Shanghai,23.1,94,26.7,80,9.4,93
2026-06-22,China,Shanghai,22.2,96,25.8,3,7.7,33
2026-06-23,China,Shanghai,21.6,96,24.5,95,9.7,27
2026-06-24,China,Shanghai,22.9,87,26.1,3,6.5,8
2026-06-25,China,Shanghai,22.9,82,25.6,3,6.7,66
2026-06-26,China,Shanghai,23.7,77,26.0,1,8.0,62
2026-06-27,China,Shanghai,24.2,77,26.8,1,8.5,118
2026-06-29,China,Shanghai,25.1,90,29.3,3,9.7,121
2026-06-30,China,Shanghai,25.6,97,30.8,3,10.5,183
2026-07-01,China,Shanghai,24.2,92,28.6,3,6.8,207
2026-07-02,China,Shanghai,24.9,96,30.1,80,7.3,155
