date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,China,Shenzhen,22.7,84,23.9,51,17.8,91
2026-05-17,China,Shenzhen,23.6,89,25.8,3,17.7,105
2026-05-17,China,Shenzhen,23.6,85,25.3,2,17.9,102
2026-05-17,China,Shenzhen,23.9,85,25.6,1,18.9,104
2026-05-18,China,Shenzhen,23.5,98,27.6,51,10.6,108
2026-05-19,China,Shenzhen,24.0,96,28.7,3,7.3,130
2026-05-20,China,Shenzhen,24.4,98,29.3,3,8.4,164
2026-05-21,China,Shenzhen,26.0,97,31.8,3,8.2,189
2026-05-22,China,Shenzhen,26.4,93,31.8,2,10.0,194
2026-05-23,China,Shenzhen,27.1,92,32.5,3,12.4,189
2026-05-24,China,Shenzhen,27.5,91,32.8,2,13.3,182
2026-05-25,China,Shenzhen,27.2,89,32.3,1,12.6,194
2026-05-26,China,Shenzhen,27.1,94,33.1,95,10.2,206
