date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,China,Wuhan,24.2,78,26.8,3,9.2,125
2026-05-17,China,Wuhan,26.1,73,28.1,3,16.2,133
2026-05-17,China,Wuhan,25.7,78,28.1,3,15.7,134
2026-05-17,China,Wuhan,24.9,82,27.8,51,11.7,144
2026-05-18,China,Wuhan,20.9,97,23.8,63,7.9,347
2026-05-19,China,Wuhan,21.3,96,24.7,3,5.7,349
2026-05-20,China,Wuhan,20.2,91,22.3,1,7.5,40
2026-05-21,China,Wuhan,23.4,90,26.5,0,10.9,129
2026-05-22,China,Wuhan,24.3,96,30.1,2,0.9,349
2026-05-23,China,Wuhan,26.8,89,32.9,51,3.5,62
2026-05-24,China,Wuhan,25.8,96,31.3,3,8.2,99
2026-05-25,China,Wuhan,25.1,97,31.4,3,1.6,264
2026-05-26,China,Wuhan,21.4,84,23.1,2,9.9,1
2026-05-27,China,Wuhan,22.6,89,26.7,3,1.2,309
2026-05-28,China,Wuhan,23.8,70,25.4,3,8.8,360
2026-05-29,China,Wuhan,21.4,87,23.3,3,10.3,306
2026-05-30,China,Wuhan,25.6,69,29.0,0,1.3,326
2026-05-31,China,Wuhan,25.0,81,29.1,0,3.8,169
2026-06-01,China,Wuhan,24.0,86,28.5,3,1.9,236
2026-06-02,China,Wuhan,25.5,85,29.4,51,9.6,200
2026-06-03,China,Wuhan,24.0,95,28.9,0,4.4,277
2026-06-04,China,Wuhan,26.0,82,30.4,3,6.0,46
2026-06-05,China,Wuhan,26.3,77,29.9,3,9.1,115
2026-06-06,China,Wuhan,28.9,76,33.8,0,9.0,121
2026-06-07,China,Wuhan,19.7,89,20.3,51,15.3,12
2026-06-08,China,Wuhan,19.7,90,22.3,3,2.3,315
2026-06-09,China,Wuhan,21.8,80,24.2,1,3.6,237
2026-06-10,China,Wuhan,23.3,84,26.8,1,3.4,267
2026-06-11,China,Wuhan,24.6,80,28.8,3,0.6,304
2026-06-12,China,Wuhan,22.7,72,24.1,3,7.8,105
2026-06-13,China,Wuhan,21.6,92,24.7,0,6.3,129
2026-06-14,China,Wuhan,28.2,64,32.3,3,0.6,108
2026-06-15,China,Wuhan,26.3,70,29.3,3,7.1,66
2026-06-16,China,Wuhan,28.5,62,31.9,0,4.9,123
2026-06-17,China,Wuhan,30.9,49,33.3,3,7.2,109
2026-06-18,China,Wuhan,27.5,85,32.8,96,8.5,102
2026-06-19,China,Wuhan,26.0,83,30.4,0,6.4,317
2026-06-20,China,Wuhan,28.4,73,33.0,1,6.1,66
2026-06-21,China,Wuhan,25.8,95,31.1,95,9.6,140
