date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,China,Xi'an,19.0,97,21.2,51,5.8,30
2026-05-17,China,Xi'an,19.6,92,21.1,3,11.0,204
2026-05-17,China,Xi'an,19.3,90,20.5,3,10.6,210
2026-05-17,China,Xi'an,18.1,92,19.4,0,7.6,211
2026-05-18,China,Xi'an,18.8,83,20.6,3,1.1,72
2026-05-19,China,Xi'an,15.9,86,16.8,0,1.3,82
2026-05-20,China,Xi'an,18.5,81,18.7,3,9.9,25
2026-05-21,China,Xi'an,19.3,97,21.2,61,9.7,34
2026-05-22,China,Xi'an,19.5,91,21.8,3,4.6,39
2026-05-23,China,Xi'an,25.4,76,27.8,3,13.1,67
2026-05-24,China,Xi'an,25.9,75,28.0,2,16.2,50
2026-05-25,China,Xi'an,21.4,88,24.4,1,3.4,58
2026-05-26,China,Xi'an,21.4,87,24.5,1,2.3,86
2026-05-27,China,Xi'an,20.4,84,22.2,3,6.5,188
2026-05-28,China,Xi'an,17.4,71,16.6,3,9.3,171
2026-05-29,China,Xi'an,15.3,79,15.2,0,4.5,173
