date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Colombia,Barranquilla,33.0,57,37.6,0,17.7,37
2026-05-17,Colombia,Barranquilla,29.1,78,35.1,95,5.2,84
2026-05-17,Colombia,Barranquilla,30.5,70,36.4,95,4.0,87
2026-05-17,Colombia,Barranquilla,33.1,57,39.2,2,4.5,7
2026-05-18,Colombia,Barranquilla,35.3,47,42.3,51,1.8,360
2026-05-19,Colombia,Barranquilla,34.8,50,40.9,0,10.6,14
2026-05-20,Colombia,Barranquilla,35.2,47,40.8,0,11.8,8
2026-05-21,Colombia,Barranquilla,36.2,48,42.9,95,4.8,75
2026-05-22,Colombia,Barranquilla,33.9,60,42.5,95,2.7,23
2026-05-23,Colombia,Barranquilla,28.9,78,33.4,3,13.0,45
2026-05-24,Colombia,Barranquilla,28.5,82,34.2,3,7.1,124
2026-05-25,Colombia,Barranquilla,33.5,55,40.1,3,10.5,24
2026-05-26,Colombia,Barranquilla,33.8,54,39.1,51,7.1,16
2026-05-27,Colombia,Barranquilla,35.0,49,40.5,3,7.9,4
2026-05-28,Colombia,Barranquilla,35.5,49,41.7,3,3.8,352
2026-05-29,Colombia,Barranquilla,34.8,51,40.2,95,0.9,37
2026-05-30,Colombia,Barranquilla,28.8,74,34.1,3,3.6,90
2026-05-31,Colombia,Barranquilla,35.0,48,40.6,2,5.2,184
2026-06-01,Colombia,Barranquilla,31.5,68,36.4,95,12.1,25
2026-06-02,Colombia,Barranquilla,33.9,55,37.7,3,15.2,29
2026-06-03,Colombia,Barranquilla,31.8,62,36.9,51,5.0,13
