date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Colombia,Cartagena,33.1,63,38.0,95,16.0,7
2026-05-17,Colombia,Cartagena,27.7,85,33.2,0,7.9,168
2026-05-17,Colombia,Cartagena,29.0,79,34.8,95,5.6,155
2026-05-17,Colombia,Cartagena,32.4,62,39.0,2,3.6,221
2026-05-18,Colombia,Cartagena,30.8,72,37.5,95,13.6,248
2026-05-19,Colombia,Cartagena,35.9,45,41.6,3,11.0,360
2026-05-20,Colombia,Cartagena,33.8,54,37.5,0,24.3,352
2026-05-21,Colombia,Cartagena,32.2,68,38.5,95,16.3,237
2026-05-22,Colombia,Cartagena,33.7,63,41.8,95,7.7,335
2026-05-23,Colombia,Cartagena,28.8,81,35.0,95,5.6,73
2026-05-24,Colombia,Cartagena,28.3,79,33.6,3,7.4,135
2026-05-25,Colombia,Cartagena,35.4,50,41.7,3,11.1,348
2026-05-26,Colombia,Cartagena,31.0,71,38.0,95,10.9,277
2026-05-27,Colombia,Cartagena,32.6,64,39.1,95,11.0,312
2026-05-28,Colombia,Cartagena,29.1,82,35.0,95,9.1,194
2026-05-29,Colombia,Cartagena,30.3,76,35.8,95,18.2,214
2026-05-30,Colombia,Cartagena,28.1,80,33.3,3,8.0,132
2026-05-31,Colombia,Cartagena,31.4,72,38.3,95,9.4,216
2026-06-01,Colombia,Cartagena,32.0,67,36.8,95,13.1,1
2026-06-02,Colombia,Cartagena,32.3,67,37.7,95,12.5,354
2026-06-03,Colombia,Cartagena,30.2,74,36.0,51,6.7,333
2026-06-04,Colombia,Cartagena,28.2,81,33.9,51,5.8,234
2026-06-05,Colombia,Cartagena,29.2,74,34.1,3,8.8,244
2026-06-06,Colombia,Cartagena,27.8,83,34.0,3,2.3,231
2026-06-07,Colombia,Cartagena,29.1,68,34.1,3,4.0,122
2026-06-08,Colombia,Cartagena,28.6,73,34.9,51,7.3,261
2026-06-09,Colombia,Cartagena,29.4,71,34.7,3,5.5,253
2026-06-10,Colombia,Cartagena,31.2,65,36.3,3,11.7,266
2026-06-11,Colombia,Cartagena,32.4,62,37.0,51,15.7,341
2026-06-12,Colombia,Cartagena,36.0,45,42.7,0,4.6,309
2026-06-13,Colombia,Cartagena,33.4,61,39.6,95,9.1,201
2026-06-14,Colombia,Cartagena,27.5,93,33.8,95,8.7,186
2026-06-15,Colombia,Cartagena,30.7,68,34.6,3,15.3,197
2026-06-16,Colombia,Cartagena,30.1,69,34.7,1,10.2,234
2026-06-17,Colombia,Cartagena,29.2,75,33.7,3,12.0,197
2026-06-18,Colombia,Cartagena,25.4,86,27.4,3,23.3,228
2026-06-19,Colombia,Cartagena,27.3,82,32.6,1,5.2,112
2026-06-20,Colombia,Cartagena,26.0,90,32.0,2,2.1,121
2026-06-21,Colombia,Cartagena,28.2,85,34.5,3,4.9,178
2026-06-22,Colombia,Cartagena,32.2,59,37.6,51,4.5,256
2026-06-23,Colombia,Cartagena,27.1,84,32.7,3,4.2,162
2026-06-24,Colombia,Cartagena,26.7,80,30.2,0,12.7,43
2026-06-25,Colombia,Cartagena,27.6,76,32.3,0,5.3,62
