date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Colombia,Medellin,28.3,41,29.4,3,1.3,344
2026-05-17,Colombia,Medellin,19.0,89,21.5,3,0.7,104
2026-05-17,Colombia,Medellin,20.6,84,23.0,3,3.5,75
2026-05-17,Colombia,Medellin,26.4,53,28.6,2,5.0,71
2026-05-18,Colombia,Medellin,28.7,43,30.4,51,7.6,72
2026-05-19,Colombia,Medellin,27.3,40,27.1,3,7.2,87
2026-05-20,Colombia,Medellin,30.5,37,30.8,51,9.1,105
2026-05-21,Colombia,Medellin,30.8,36,32.6,51,10.7,99
2026-05-22,Colombia,Medellin,28.6,41,29.0,3,11.3,73
2026-05-23,Colombia,Medellin,18.5,98,21.2,3,2.4,54
2026-05-24,Colombia,Medellin,19.6,97,22.8,3,2.0,95
2026-05-25,Colombia,Medellin,28.5,48,31.0,51,2.5,82
2026-05-26,Colombia,Medellin,29.1,46,30.4,3,9.0,85
2026-05-27,Colombia,Medellin,30.5,38,31.9,53,10.3,93
2026-05-28,Colombia,Medellin,26.9,56,29.0,51,3.3,29
2026-05-29,Colombia,Medellin,22.5,89,26.3,51,2.6,309
2026-05-30,Colombia,Medellin,20.2,89,22.6,3,4.2,72
2026-05-31,Colombia,Medellin,26.8,54,29.1,1,9.6,78
2026-06-01,Colombia,Medellin,26.7,54,28.2,3,5.0,142
2026-06-02,Colombia,Medellin,25.0,70,27.8,3,4.3,222
2026-06-03,Colombia,Medellin,22.4,89,26.2,55,2.7,270
2026-06-04,Colombia,Medellin,23.8,72,26.3,55,4.4,60
2026-06-05,Colombia,Medellin,25.2,63,27.5,53,3.1,69
2026-06-06,Colombia,Medellin,20.0,88,22.3,3,3.6,57
2026-06-07,Colombia,Medellin,23.7,70,25.9,3,4.8,56
2026-06-08,Colombia,Medellin,25.3,60,27.7,2,3.2,286
2026-06-09,Colombia,Medellin,26.6,58,30.7,1,1.3,315
2026-06-10,Colombia,Medellin,28.4,50,31.9,3,2.5,172
2026-06-11,Colombia,Medellin,28.3,45,29.0,3,8.3,90
2026-06-12,Colombia,Medellin,27.7,52,30.9,1,8.1,91
2026-06-13,Colombia,Medellin,25.7,61,28.1,3,5.7,55
2026-06-14,Colombia,Medellin,17.0,100,19.4,3,1.0,239
2026-06-15,Colombia,Medellin,24.0,63,25.8,3,4.0,54
2026-06-16,Colombia,Medellin,21.1,82,23.2,3,5.2,74
2026-06-17,Colombia,Medellin,19.4,91,21.6,3,4.3,66
2026-06-18,Colombia,Medellin,18.6,98,21.1,3,3.5,55
2026-06-19,Colombia,Medellin,18.7,98,21.2,51,3.8,79
2026-06-20,Colombia,Medellin,17.7,100,20.4,3,1.0,68
2026-06-21,Colombia,Medellin,17.9,100,20.2,3,4.1,61
2026-06-22,Colombia,Medellin,23.4,70,25.4,3,6.2,73
2026-06-23,Colombia,Medellin,18.1,98,20.3,51,4.0,72
2026-06-24,Colombia,Medellin,18.1,94,20.2,3,3.7,67
2026-06-25,Colombia,Medellin,17.4,98,19.7,3,2.1,121
2026-06-26,Colombia,Medellin,17.7,100,20.1,3,2.6,106
2026-06-27,Colombia,Medellin,16.7,100,18.6,3,3.5,55
2026-06-29,Colombia,Medellin,20.2,82,22.1,3,4.3,62
2026-06-30,Colombia,Medellin,17.4,99,19.8,3,1.5,97
2026-07-01,Colombia,Medellin,17.9,99,20.3,3,2.8,79
2026-07-02,Colombia,Medellin,17.1,100,19.3,3,2.1,70
2026-07-03,Colombia,Medellin,18.0,99,20.6,3,2.0,153
2026-07-04,Colombia,Medellin,18.0,99,20.5,3,2.1,110
2026-07-05,Colombia,Medellin,17.6,100,19.8,3,3.7,76
2026-07-06,Colombia,Medellin,19.7,89,22.0,2,3.4,72
