date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Czech Republic,Brno,11.4,70,8.7,3,11.8,340
2026-05-17,Czech Republic,Brno,15.2,40,11.0,3,16.2,360
2026-05-17,Czech Republic,Brno,15.5,41,11.5,3,15.7,9
2026-05-17,Czech Republic,Brno,14.6,46,11.3,3,11.7,34
2026-05-18,Czech Republic,Brno,16.3,45,13.8,3,7.9,74
2026-05-19,Czech Republic,Brno,19.3,47,17.9,2,5.6,135
2026-05-20,Czech Republic,Brno,20.1,42,18.1,2,8.2,322
2026-05-21,Czech Republic,Brno,19.9,47,17.2,1,14.9,345
2026-05-22,Czech Republic,Brno,21.9,43,20.1,3,10.4,20
2026-05-23,Czech Republic,Brno,24.3,40,22.8,3,10.1,27
2026-05-24,Czech Republic,Brno,28.1,35,29.0,1,8.2,322
2026-05-25,Czech Republic,Brno,27.0,28,24.7,0,10.5,352
2026-05-26,Czech Republic,Brno,27.0,35,26.0,0,6.9,351
2026-05-27,Czech Republic,Brno,24.0,33,21.0,0,14.8,357
2026-05-28,Czech Republic,Brno,19.1,36,16.5,0,8.0,342
2026-05-29,Czech Republic,Brno,21.6,26,18.7,0,6.4,317
2026-05-30,Czech Republic,Brno,24.3,47,24.4,80,4.1,195
2026-05-31,Czech Republic,Brno,26.8,30,24.4,3,12.7,315
2026-06-01,Czech Republic,Brno,14.9,85,15.0,2,4.8,297
2026-06-02,Czech Republic,Brno,20.3,50,19.3,1,5.6,117
2026-06-03,Czech Republic,Brno,15.2,79,14.8,61,5.6,310
2026-06-04,Czech Republic,Brno,22.4,42,21.1,3,7.0,145
2026-06-05,Czech Republic,Brno,17.2,66,16.8,3,4.8,222
2026-06-06,Czech Republic,Brno,23.3,37,23.2,0,7.3,110
2026-06-07,Czech Republic,Brno,24.8,33,21.9,1,15.8,311
2026-06-08,Czech Republic,Brno,25.6,33,24.4,3,5.4,143
2026-06-09,Czech Republic,Brno,18.7,70,17.9,61,12.9,330
2026-06-10,Czech Republic,Brno,14.1,78,12.3,3,12.7,345
2026-06-11,Czech Republic,Brno,14.1,65,11.9,0,10.9,304
2026-06-12,Czech Republic,Brno,15.7,72,14.9,61,6.5,251
2026-06-13,Czech Republic,Brno,24.2,36,22.0,3,12.0,291
2026-06-14,Czech Republic,Brno,18.5,42,14.3,3,22.5,310
2026-06-15,Czech Republic,Brno,20.7,37,16.7,2,19.9,314
2026-06-16,Czech Republic,Brno,24.5,32,21.9,2,13.1,279
2026-06-17,Czech Republic,Brno,26.9,34,25.4,3,15.9,332
2026-06-18,Czech Republic,Brno,28.3,37,28.2,3,9.8,336
2026-06-19,Czech Republic,Brno,31.3,35,32.0,2,8.1,193
2026-06-20,Czech Republic,Brno,31.6,44,35.5,1,5.5,148
2026-06-21,Czech Republic,Brno,32.8,35,35.1,0,9.3,324
