date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Czech Republic,Cesky Krumlov,8.4,78,6.6,3,3.5,294
2026-05-17,Czech Republic,Cesky Krumlov,13.1,44,9.9,3,8.3,355
2026-05-17,Czech Republic,Cesky Krumlov,13.2,46,10.5,2,5.8,360
2026-05-17,Czech Republic,Cesky Krumlov,12.9,48,10.2,3,6.1,230
2026-05-18,Czech Republic,Cesky Krumlov,15.4,46,13.3,3,4.3,48
2026-05-19,Czech Republic,Cesky Krumlov,15.7,67,14.9,3,4.7,9
2026-05-20,Czech Republic,Cesky Krumlov,15.9,61,14.2,3,8.6,255
2026-05-21,Czech Republic,Cesky Krumlov,17.6,51,15.7,2,8.0,350
2026-05-22,Czech Republic,Cesky Krumlov,20.7,45,19.1,3,7.8,22
2026-05-23,Czech Republic,Cesky Krumlov,24.0,41,24.3,1,10.5,63
2026-05-24,Czech Republic,Cesky Krumlov,27.7,38,28.9,0,8.1,13
2026-05-25,Czech Republic,Cesky Krumlov,25.8,32,24.0,0,8.6,33
2026-05-26,Czech Republic,Cesky Krumlov,25.3,31,23.7,0,5.0,60
2026-05-27,Czech Republic,Cesky Krumlov,22.5,40,20.0,0,13.8,7
2026-05-28,Czech Republic,Cesky Krumlov,18.4,37,16.0,0,5.7,35
2026-05-29,Czech Republic,Cesky Krumlov,19.7,32,17.5,0,3.1,324
2026-05-30,Czech Republic,Cesky Krumlov,26.8,40,25.9,2,17.4,308
2026-05-31,Czech Republic,Cesky Krumlov,17.9,74,18.6,61,2.3,72
2026-06-01,Czech Republic,Cesky Krumlov,12.6,94,12.3,3,5.5,238
2026-06-02,Czech Republic,Cesky Krumlov,17.1,77,17.5,3,3.9,248
2026-06-03,Czech Republic,Cesky Krumlov,11.9,91,11.0,0,7.0,249
2026-06-04,Czech Republic,Cesky Krumlov,20.7,62,21.5,3,1.5,166
2026-06-05,Czech Republic,Cesky Krumlov,16.3,68,15.2,2,8.2,232
2026-06-06,Czech Republic,Cesky Krumlov,21.9,48,20.9,3,9.7,86
2026-06-07,Czech Republic,Cesky Krumlov,22.1,45,19.8,2,15.2,266
2026-06-08,Czech Republic,Cesky Krumlov,22.9,55,23.6,3,2.4,153
2026-06-09,Czech Republic,Cesky Krumlov,15.4,85,15.5,61,5.4,233
2026-06-10,Czech Republic,Cesky Krumlov,11.2,88,10.2,61,5.1,231
2026-06-11,Czech Republic,Cesky Krumlov,10.0,87,8.5,2,6.1,242
2026-06-12,Czech Republic,Cesky Krumlov,13.5,85,12.6,61,8.7,232
2026-06-13,Czech Republic,Cesky Krumlov,23.4,37,19.4,1,23.0,271
2026-06-14,Czech Republic,Cesky Krumlov,17.7,46,14.6,2,22.2,287
2026-06-15,Czech Republic,Cesky Krumlov,19.7,37,15.7,1,18.4,282
2026-06-16,Czech Republic,Cesky Krumlov,22.9,40,20.1,3,17.0,249
2026-06-17,Czech Republic,Cesky Krumlov,24.7,53,25.0,3,8.0,350
2026-06-18,Czech Republic,Cesky Krumlov,27.2,45,28.3,2,8.7,42
2026-06-19,Czech Republic,Cesky Krumlov,30.9,38,33.5,1,6.0,237
2026-06-20,Czech Republic,Cesky Krumlov,31.7,34,34.1,2,4.6,198
2026-06-21,Czech Republic,Cesky Krumlov,31.4,32,32.5,0,10.4,70
2026-06-22,Czech Republic,Cesky Krumlov,22.7,72,24.3,80,6.9,279
2026-06-23,Czech Republic,Cesky Krumlov,27.0,51,28.3,3,7.3,20
2026-06-24,Czech Republic,Cesky Krumlov,28.7,42,30.9,0,8.2,52
2026-06-25,Czech Republic,Cesky Krumlov,30.5,34,32.3,0,7.9,93
2026-06-26,Czech Republic,Cesky Krumlov,31.7,33,33.4,0,9.0,88
2026-06-27,Czech Republic,Cesky Krumlov,33.4,36,36.5,0,7.2,63
2026-06-29,Czech Republic,Cesky Krumlov,24.7,67,26.2,96,10.1,253
2026-06-30,Czech Republic,Cesky Krumlov,27.5,57,31.1,2,7.7,41
2026-07-01,Czech Republic,Cesky Krumlov,21.0,89,23.7,61,5.0,270
2026-07-02,Czech Republic,Cesky Krumlov,24.0,42,25.1,2,7.6,289
2026-07-03,Czech Republic,Cesky Krumlov,22.5,40,22.1,0,12.8,322
2026-07-04,Czech Republic,Cesky Krumlov,22.5,40,21.0,2,12.4,280
2026-07-05,Czech Republic,Cesky Krumlov,21.1,58,20.0,3,13.0,275
2026-07-06,Czech Republic,Cesky Krumlov,21.3,53,18.9,3,18.6,279
2026-07-07,Czech Republic,Cesky Krumlov,27.1,35,24.3,3,21.3,264
2026-07-08,Czech Republic,Cesky Krumlov,19.4,67,18.6,3,12.1,300
2026-07-09,Czech Republic,Cesky Krumlov,23.7,36,23.2,1,11.3,329
2026-07-10,Czech Republic,Cesky Krumlov,25.1,37,25.4,0,10.6,62
