date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Czech Republic,Pilsen,11.3,53,8.2,1,8.8,289
2026-05-17,Czech Republic,Pilsen,16.0,34,13.6,2,6.0,303
2026-05-17,Czech Republic,Pilsen,16.1,34,13.6,3,2.8,310
2026-05-17,Czech Republic,Pilsen,16.4,31,13.9,3,2.2,279
2026-05-18,Czech Republic,Pilsen,18.4,32,16.4,2,0.8,207
2026-05-19,Czech Republic,Pilsen,18.4,38,16.3,3,4.5,194
2026-05-20,Czech Republic,Pilsen,16.7,64,15.2,61,10.7,303
2026-05-21,Czech Republic,Pilsen,19.7,44,17.9,2,7.4,313
2026-05-22,Czech Republic,Pilsen,23.5,36,21.7,3,8.4,59
2026-05-23,Czech Republic,Pilsen,26.3,38,27.7,1,5.0,60
2026-05-24,Czech Republic,Pilsen,28.6,36,30.4,2,3.3,283
2026-05-25,Czech Republic,Pilsen,28.1,22,25.3,0,10.1,35
2026-05-26,Czech Republic,Pilsen,28.8,23,26.9,3,5.6,75
2026-05-27,Czech Republic,Pilsen,22.2,37,19.1,0,16.3,18
2026-05-28,Czech Republic,Pilsen,20.3,28,16.6,0,12.4,30
2026-05-29,Czech Republic,Pilsen,25.1,16,21.9,0,4.6,288
2026-05-30,Czech Republic,Pilsen,28.3,37,27.3,2,19.1,302
2026-05-31,Czech Republic,Pilsen,25.5,43,25.2,3,6.4,297
2026-06-01,Czech Republic,Pilsen,17.4,73,18.0,3,1.3,124
2026-06-02,Czech Republic,Pilsen,20.9,52,20.2,61,5.8,158
2026-06-03,Czech Republic,Pilsen,16.5,58,15.4,1,4.5,241
2026-06-04,Czech Republic,Pilsen,23.2,46,22.5,3,6.9,219
2026-06-05,Czech Republic,Pilsen,17.0,71,16.3,3,8.9,212
2026-06-06,Czech Republic,Pilsen,22.9,39,22.5,3,5.0,159
2026-06-07,Czech Republic,Pilsen,23.3,31,20.5,1,11.4,257
2026-06-08,Czech Republic,Pilsen,25.9,29,24.3,3,5.0,159
2026-06-09,Czech Republic,Pilsen,17.6,68,16.5,3,10.7,230
2026-06-10,Czech Republic,Pilsen,13.7,72,12.2,61,7.9,254
2026-06-11,Czech Republic,Pilsen,13.9,70,12.4,80,7.4,256
2026-06-12,Czech Republic,Pilsen,15.4,83,14.9,3,9.1,214
2026-06-13,Czech Republic,Pilsen,23.0,38,19.8,1,18.7,289
2026-06-14,Czech Republic,Pilsen,17.1,43,12.9,3,19.3,291
2026-06-15,Czech Republic,Pilsen,19.5,39,16.3,2,14.1,289
2026-06-16,Czech Republic,Pilsen,21.1,52,19.0,61,16.9,259
2026-06-17,Czech Republic,Pilsen,24.7,46,23.2,3,15.5,267
2026-06-18,Czech Republic,Pilsen,28.8,37,30.4,1,3.3,257
2026-06-19,Czech Republic,Pilsen,32.7,27,34.0,0,5.8,94
2026-06-20,Czech Republic,Pilsen,31.2,39,34.7,1,2.9,360
2026-06-21,Czech Republic,Pilsen,33.3,31,35.3,1,4.8,228
2026-06-22,Czech Republic,Pilsen,24.3,68,27.0,1,1.1,288
2026-06-23,Czech Republic,Pilsen,28.4,42,29.5,3,7.0,21
