date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Denmark,Aalborg,9.7,86,6.9,3,14.8,235
2026-05-17,Denmark,Aalborg,15.0,53,12.1,1,12.2,195
2026-05-17,Denmark,Aalborg,15.7,51,13.1,2,10.1,187
2026-05-17,Denmark,Aalborg,13.6,53,10.7,3,10.8,190
2026-05-18,Denmark,Aalborg,17.4,56,14.2,2,19.4,127
2026-05-19,Denmark,Aalborg,17.4,59,15.1,1,14.4,127
2026-05-20,Denmark,Aalborg,14.2,94,14.0,3,8.3,188
2026-05-21,Denmark,Aalborg,16.8,68,13.7,0,23.0,257
2026-05-22,Denmark,Aalborg,21.1,68,20.5,0,15.5,266
2026-05-23,Denmark,Aalborg,20.1,71,19.6,3,13.7,270
2026-05-24,Denmark,Aalborg,19.4,53,17.1,2,22.3,293
2026-05-25,Denmark,Aalborg,21.2,63,19.2,0,22.7,279
2026-05-26,Denmark,Aalborg,15.2,64,10.5,2,29.5,287
2026-05-27,Denmark,Aalborg,16.3,61,13.5,2,16.9,274
2026-05-28,Denmark,Aalborg,19.7,42,17.5,2,8.3,314
2026-05-29,Denmark,Aalborg,18.4,75,17.1,3,18.0,261
2026-05-30,Denmark,Aalborg,18.1,67,15.5,3,25.2,274
2026-05-31,Denmark,Aalborg,18.0,81,17.6,3,13.0,265
2026-06-01,Denmark,Aalborg,16.6,69,16.0,3,5.8,204
2026-06-02,Denmark,Aalborg,18.7,68,17.1,3,16.9,126
2026-06-03,Denmark,Aalborg,16.8,92,17.3,2,9.4,156
2026-06-04,Denmark,Aalborg,15.2,91,15.1,61,8.3,140
2026-06-05,Denmark,Aalborg,16.8,75,15.0,3,16.9,254
2026-06-06,Denmark,Aalborg,19.0,47,18.1,1,10.4,285
2026-06-07,Denmark,Aalborg,17.0,92,17.6,63,8.6,278
2026-06-08,Denmark,Aalborg,16.8,85,16.8,3,9.0,142
2026-06-09,Denmark,Aalborg,16.6,64,12.8,0,25.2,257
2026-06-10,Denmark,Aalborg,16.0,66,13.6,1,15.8,256
2026-06-11,Denmark,Aalborg,14.2,71,13.3,1,4.0,201
2026-06-12,Denmark,Aalborg,14.5,92,13.0,3,17.3,208
2026-06-13,Denmark,Aalborg,16.2,78,14.1,3,19.4,269
