date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Denmark,Aarhus,10.4,84,6.7,3,21.6,237
2026-05-17,Denmark,Aarhus,14.0,66,10.3,3,22.0,148
2026-05-17,Denmark,Aarhus,14.3,65,11.1,3,18.7,150
2026-05-17,Denmark,Aarhus,15.7,56,12.1,2,19.8,145
2026-05-18,Denmark,Aarhus,14.9,66,12.3,3,15.5,121
2026-05-19,Denmark,Aarhus,15.4,69,13.6,2,12.2,152
2026-05-20,Denmark,Aarhus,15.4,89,14.6,2,13.7,214
2026-05-21,Denmark,Aarhus,18.1,55,14.9,2,19.8,273
2026-05-22,Denmark,Aarhus,21.9,60,21.1,2,14.0,274
2026-05-23,Denmark,Aarhus,24.0,54,22.3,2,20.9,227
2026-05-24,Denmark,Aarhus,20.2,46,18.5,3,16.9,309
2026-05-25,Denmark,Aarhus,23.1,55,20.9,0,23.0,278
2026-05-26,Denmark,Aarhus,19.5,52,15.8,2,24.5,304
2026-05-27,Denmark,Aarhus,16.1,50,12.1,3,20.5,303
2026-05-28,Denmark,Aarhus,16.9,58,15.2,2,9.7,147
2026-05-29,Denmark,Aarhus,20.1,62,18.0,3,19.8,279
2026-05-30,Denmark,Aarhus,19.4,59,16.5,3,23.0,283
2026-05-31,Denmark,Aarhus,19.0,74,19.0,3,9.7,338
2026-06-01,Denmark,Aarhus,17.4,63,16.2,3,8.6,228
2026-06-02,Denmark,Aarhus,18.8,76,17.8,3,17.3,123
2026-06-03,Denmark,Aarhus,16.5,85,16.2,2,10.8,178
2026-06-04,Denmark,Aarhus,17.0,74,15.0,3,18.4,186
2026-06-05,Denmark,Aarhus,18.6,60,16.4,2,16.9,265
2026-06-06,Denmark,Aarhus,19.7,45,17.4,2,11.5,205
2026-06-07,Denmark,Aarhus,19.7,69,18.6,3,15.8,214
2026-06-08,Denmark,Aarhus,17.2,77,16.9,3,8.6,135
2026-06-09,Denmark,Aarhus,16.6,55,13.1,1,20.2,263
2026-06-10,Denmark,Aarhus,16.3,59,14.1,1,12.2,260
2026-06-11,Denmark,Aarhus,15.2,75,14.1,2,9.7,53
2026-06-12,Denmark,Aarhus,15.2,91,14.1,3,16.2,229
2026-06-13,Denmark,Aarhus,16.5,76,14.4,2,19.4,276
2026-06-14,Denmark,Aarhus,17.5,74,15.1,3,22.7,323
