date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Denmark,Billund,9.0,84,5.6,3,17.3,245
2026-05-17,Denmark,Billund,14.2,58,10.9,3,15.5,178
2026-05-17,Denmark,Billund,14.2,55,10.7,3,16.2,183
2026-05-17,Denmark,Billund,12.2,74,9.6,3,14.0,181
2026-05-18,Denmark,Billund,14.4,66,11.5,3,16.9,143
2026-05-19,Denmark,Billund,17.1,80,17.0,1,8.3,135
2026-05-20,Denmark,Billund,14.7,85,13.6,3,12.6,220
2026-05-21,Denmark,Billund,16.7,71,14.8,3,15.8,256
2026-05-22,Denmark,Billund,21.9,67,22.3,1,10.1,245
2026-05-23,Denmark,Billund,23.9,55,23.0,0,17.6,223
2026-05-24,Denmark,Billund,19.8,49,18.4,1,16.6,289
2026-05-25,Denmark,Billund,21.9,61,20.7,0,17.3,278
2026-05-26,Denmark,Billund,19.8,60,17.6,0,19.1,326
