date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Denmark,Copenhagen,10.4,79,6.7,1,20.2,231
2026-05-17,Denmark,Copenhagen,15.1,49,12.1,2,18.7,178
2026-05-17,Denmark,Copenhagen,15.5,49,12.2,2,20.2,181
2026-05-17,Denmark,Copenhagen,15.8,49,11.7,3,19.4,174
2026-05-18,Denmark,Copenhagen,16.2,44,12.7,1,14.0,147
2026-05-19,Denmark,Copenhagen,16.5,50,14.1,0,9.4,181
2026-05-20,Denmark,Copenhagen,14.0,93,13.8,3,7.6,177
2026-05-21,Denmark,Copenhagen,18.7,48,15.6,0,16.6,283
2026-05-22,Denmark,Copenhagen,18.8,62,17.5,2,11.2,308
2026-05-23,Denmark,Copenhagen,22.6,57,21.8,3,16.2,197
2026-05-24,Denmark,Copenhagen,20.4,45,18.1,3,19.4,320
2026-05-25,Denmark,Copenhagen,23.5,45,20.8,0,19.8,279
2026-05-26,Denmark,Copenhagen,21.0,58,19.0,1,18.4,310
2026-05-27,Denmark,Copenhagen,17.2,38,13.2,0,15.8,323
2026-05-28,Denmark,Copenhagen,18.7,33,15.5,3,9.7,331
2026-05-29,Denmark,Copenhagen,20.0,55,18.6,3,11.5,195
2026-05-30,Denmark,Copenhagen,20.4,49,17.1,3,21.2,292
2026-05-31,Denmark,Copenhagen,17.7,64,16.7,3,7.9,66
2026-06-01,Denmark,Copenhagen,16.9,70,15.9,3,9.4,200
2026-06-02,Denmark,Copenhagen,18.4,64,16.3,3,17.6,125
2026-06-03,Denmark,Copenhagen,16.0,86,15.2,0,13.0,174
2026-06-04,Denmark,Copenhagen,18.4,77,17.6,3,15.5,173
2026-06-05,Denmark,Copenhagen,19.4,67,18.7,2,11.5,244
2026-06-06,Denmark,Copenhagen,21.2,50,20.3,2,14.8,198
2026-06-07,Denmark,Copenhagen,18.7,69,16.6,3,20.5,225
2026-06-08,Denmark,Copenhagen,19.0,63,17.9,3,10.8,169
2026-06-09,Denmark,Copenhagen,17.4,59,15.0,3,15.1,272
2026-06-10,Denmark,Copenhagen,17.8,51,15.2,2,13.3,227
2026-06-11,Denmark,Copenhagen,15.9,61,14.1,1,9.4,255
2026-06-12,Denmark,Copenhagen,16.7,70,14.6,3,16.6,195
2026-06-13,Denmark,Copenhagen,16.0,68,13.3,2,18.4,277
2026-06-14,Denmark,Copenhagen,17.2,66,15.0,3,16.6,313
2026-06-15,Denmark,Copenhagen,17.1,61,13.9,2,20.5,315
2026-06-16,Denmark,Copenhagen,17.8,43,15.5,2,15.5,294
2026-06-17,Denmark,Copenhagen,18.4,51,15.7,3,14.8,216
2026-06-18,Denmark,Copenhagen,24.1,47,23.8,2,15.5,286
2026-06-19,Denmark,Copenhagen,26.7,65,28.9,1,10.4,166
2026-06-20,Denmark,Copenhagen,26.5,55,28.3,3,12.6,198
2026-06-21,Denmark,Copenhagen,24.1,35,21.9,2,15.5,336
2026-06-22,Denmark,Copenhagen,23.3,37,20.6,3,14.8,313
2026-06-23,Denmark,Copenhagen,23.1,39,23.2,0,8.6,19
2026-06-24,Denmark,Copenhagen,25.7,45,24.7,2,17.3,211
2026-06-25,Denmark,Copenhagen,25.8,38,25.4,0,14.0,309
2026-06-26,Denmark,Copenhagen,27.3,42,27.9,0,13.3,204
2026-06-27,Denmark,Copenhagen,30.8,42,33.1,1,9.4,183
2026-06-29,Denmark,Copenhagen,25.7,51,25.5,3,12.2,287
2026-06-30,Denmark,Copenhagen,23.0,47,23.0,3,12.2,58
2026-07-01,Denmark,Copenhagen,24.6,47,23.8,3,12.2,22
2026-07-02,Denmark,Copenhagen,19.3,68,18.0,51,15.5,199
2026-07-03,Denmark,Copenhagen,15.4,78,11.0,3,33.1,281
2026-07-04,Denmark,Copenhagen,19.0,53,17.6,0,17.3,294
2026-07-05,Denmark,Copenhagen,18.7,61,15.4,3,24.5,291
2026-07-06,Denmark,Copenhagen,16.2,86,16.9,3,3.6,198
2026-07-07,Denmark,Copenhagen,16.9,84,14.5,3,26.3,271
2026-07-08,Denmark,Copenhagen,20.9,47,19.1,0,20.9,301
2026-07-09,Denmark,Copenhagen,24.7,43,24.8,0,12.2,41
2026-07-10,Denmark,Copenhagen,24.7,38,23.4,3,7.9,21
