date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Egypt,Alexandria,20.4,74,21.7,1,4.3,95
2026-05-17,Egypt,Alexandria,33.4,36,34.7,0,17.2,299
2026-05-17,Egypt,Alexandria,32.6,36,33.0,0,17.6,311
2026-05-17,Egypt,Alexandria,29.4,40,28.1,3,19.4,312
2026-05-18,Egypt,Alexandria,21.1,79,22.4,1,8.9,333
2026-05-19,Egypt,Alexandria,20.5,86,22.3,3,7.9,330
2026-05-20,Egypt,Alexandria,20.2,67,18.5,2,20.6,297
2026-05-21,Egypt,Alexandria,20.5,76,20.9,3,11.8,308
2026-05-22,Egypt,Alexandria,20.5,75,21.4,1,7.9,321
2026-05-23,Egypt,Alexandria,24.1,61,26.2,0,12.2,332
2026-05-24,Egypt,Alexandria,24.0,62,25.8,0,14.3,304
2026-05-25,Egypt,Alexandria,20.9,78,21.9,1,10.0,330
2026-05-26,Egypt,Alexandria,20.6,86,22.2,2,10.0,334
2026-05-27,Egypt,Alexandria,21.1,81,22.8,1,7.5,325
2026-05-28,Egypt,Alexandria,21.4,81,23.3,0,6.7,324
2026-05-29,Egypt,Alexandria,21.5,84,23.5,2,8.7,308
2026-05-30,Egypt,Alexandria,25.3,72,28.1,1,14.1,310
2026-05-31,Egypt,Alexandria,24.5,64,25.2,0,12.5,327
2026-06-01,Egypt,Alexandria,20.8,86,23.1,1,5.8,90
2026-06-02,Egypt,Alexandria,22.7,73,24.1,1,9.4,67
2026-06-03,Egypt,Alexandria,22.3,79,24.4,0,7.4,39
2026-06-04,Egypt,Alexandria,23.5,74,25.3,0,9.8,17
2026-06-05,Egypt,Alexandria,25.2,63,26.8,0,8.4,50
2026-06-06,Egypt,Alexandria,25.3,72,27.3,2,19.1,316
2026-06-07,Egypt,Alexandria,24.8,73,26.6,1,13.2,331
2026-06-08,Egypt,Alexandria,23.5,79,26.1,0,7.6,360
2026-06-09,Egypt,Alexandria,24.0,80,26.8,0,8.9,317
2026-06-10,Egypt,Alexandria,23.5,79,25.8,3,9.8,343
2026-06-11,Egypt,Alexandria,23.1,83,26.3,1,5.4,318
2026-06-12,Egypt,Alexandria,23.4,83,26.2,1,8.4,317
2026-06-13,Egypt,Alexandria,25.8,71,27.9,1,12.7,325
2026-06-14,Egypt,Alexandria,26.9,59,29.3,1,16.7,323
2026-06-15,Egypt,Alexandria,25.9,60,26.5,1,14.5,337
2026-06-16,Egypt,Alexandria,26.7,62,28.7,1,14.6,340
2026-06-17,Egypt,Alexandria,26.7,63,28.9,1,16.7,323
2026-06-18,Egypt,Alexandria,27.7,60,30.4,1,15.7,302
2026-06-19,Egypt,Alexandria,27.8,66,31.2,1,14.7,301
2026-06-20,Egypt,Alexandria,27.1,64,30.6,1,14.6,327
2026-06-21,Egypt,Alexandria,27.1,63,30.1,1,17.1,332
2026-06-22,Egypt,Alexandria,27.0,66,28.6,1,16.4,310
2026-06-23,Egypt,Alexandria,28.8,62,32.8,0,15.3,304
2026-06-24,Egypt,Alexandria,28.6,63,33.0,0,14.4,307
2026-06-25,Egypt,Alexandria,29.1,64,33.6,0,15.3,297
2026-06-26,Egypt,Alexandria,28.4,69,33.1,1,14.6,303
2026-06-27,Egypt,Alexandria,28.8,64,33.4,1,14.7,301
2026-06-29,Egypt,Alexandria,28.8,66,32.9,0,13.8,317
2026-06-30,Egypt,Alexandria,29.0,70,34.0,2,16.0,314
2026-07-01,Egypt,Alexandria,29.5,63,34.1,1,14.4,307
2026-07-02,Egypt,Alexandria,29.7,65,34.1,1,16.9,310
2026-07-03,Egypt,Alexandria,30.0,64,34.6,1,16.2,302
2026-07-04,Egypt,Alexandria,29.9,67,34.8,2,16.8,293
2026-07-05,Egypt,Alexandria,29.4,65,33.9,1,16.4,289
2026-07-06,Egypt,Alexandria,29.4,62,32.4,1,18.2,308
2026-07-07,Egypt,Alexandria,29.6,54,32.6,1,16.4,310
2026-07-08,Egypt,Alexandria,29.7,52,32.7,1,15.5,298
2026-07-09,Egypt,Alexandria,29.4,62,33.6,1,14.9,290
2026-07-10,Egypt,Alexandria,29.6,63,34.5,0,13.7,315
2026-07-11,Egypt,Alexandria,29.1,67,34.2,2,13.7,315
2026-07-12,Egypt,Alexandria,30.2,56,34.3,1,15.6,310
