date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Egypt,Aswan,33.0,15,28.6,0,18.9,346
2026-05-17,Egypt,Aswan,42.5,9,40.7,0,13.3,3
2026-05-17,Egypt,Aswan,42.8,9,40.3,0,13.1,1
2026-05-17,Egypt,Aswan,42.8,9,39.5,0,11.9,337
2026-05-18,Egypt,Aswan,42.0,9,39.5,0,6.6,139
2026-05-19,Egypt,Aswan,42.0,8,37.2,0,18.5,13
2026-05-20,Egypt,Aswan,37.1,15,31.5,1,32.0,344
2026-05-21,Egypt,Aswan,30.6,17,26.1,0,19.5,350
2026-05-22,Egypt,Aswan,33.1,14,29.8,0,11.0,1
2026-05-23,Egypt,Aswan,36.8,13,34.0,0,19.6,347
2026-05-24,Egypt,Aswan,35.3,9,31.6,1,19.2,345
2026-05-25,Egypt,Aswan,32.7,12,27.8,0,18.4,343
2026-05-26,Egypt,Aswan,30.9,19,26.8,0,19.7,346
2026-05-27,Egypt,Aswan,31.2,19,27.2,0,19.2,341
2026-05-28,Egypt,Aswan,31.2,17,27.0,0,18.4,339
2026-05-29,Egypt,Aswan,33.0,14,28.4,0,18.6,348
2026-05-30,Egypt,Aswan,36.7,9,32.8,0,17.2,334
2026-05-31,Egypt,Aswan,36.8,9,31.9,0,18.2,342
2026-06-01,Egypt,Aswan,32.2,19,28.2,0,20.0,357
