date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Egypt,Luxor,32.5,16,28.5,0,16.7,326
2026-05-17,Egypt,Luxor,42.2,11,42.4,0,3.4,3
2026-05-17,Egypt,Luxor,42.7,10,41.9,0,4.0,333
2026-05-17,Egypt,Luxor,43.0,10,40.3,0,9.4,308
2026-05-18,Egypt,Luxor,42.0,8,37.7,0,15.9,321
2026-05-19,Egypt,Luxor,40.1,10,37.3,0,7.7,311
2026-05-20,Egypt,Luxor,34.2,21,31.0,0,19.3,339
2026-05-21,Egypt,Luxor,29.1,19,26.3,0,9.1,333
2026-05-22,Egypt,Luxor,32.2,18,29.5,0,9.5,291
2026-05-23,Egypt,Luxor,36.0,12,33.5,0,16.5,304
2026-05-24,Egypt,Luxor,35.8,9,33.1,3,13.4,316
2026-05-25,Egypt,Luxor,32.2,15,27.9,0,18.3,331
