date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Egypt,Sharm El Sheikh,28.0,29,25.7,0,12.1,15
2026-05-17,Egypt,Sharm El Sheikh,36.6,19,35.6,0,14.9,189
2026-05-17,Egypt,Sharm El Sheikh,36.7,19,35.1,0,14.9,189
2026-05-17,Egypt,Sharm El Sheikh,36.1,21,34.7,0,10.5,172
2026-05-18,Egypt,Sharm El Sheikh,33.7,28,34.3,0,1.9,151
2026-05-19,Egypt,Sharm El Sheikh,34.9,19,31.5,0,19.2,13
2026-05-20,Egypt,Sharm El Sheikh,33.2,22,32.3,0,3.6,270
2026-05-21,Egypt,Sharm El Sheikh,27.1,31,25.3,0,9.4,40
2026-05-22,Egypt,Sharm El Sheikh,30.3,34,30.1,0,7.5,30
2026-05-23,Egypt,Sharm El Sheikh,32.6,29,33.9,0,7.6,128
2026-05-24,Egypt,Sharm El Sheikh,32.7,24,31.6,0,16.9,105
2026-05-25,Egypt,Sharm El Sheikh,31.7,29,31.2,0,6.1,135
2026-05-26,Egypt,Sharm El Sheikh,30.4,33,30.6,0,3.8,205
2026-05-27,Egypt,Sharm El Sheikh,30.3,36,30.5,0,6.3,24
2026-05-28,Egypt,Sharm El Sheikh,29.5,28,28.4,1,5.6,132
