date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Finland,Helsinki,13.1,82,11.6,51,10.1,169
2026-05-17,Finland,Helsinki,15.4,65,13.3,2,15.1,224
2026-05-17,Finland,Helsinki,16.0,60,13.8,1,15.8,225
2026-05-17,Finland,Helsinki,14.5,57,11.5,0,13.7,219
2026-05-18,Finland,Helsinki,19.3,41,15.7,3,16.9,40
2026-05-19,Finland,Helsinki,20.0,85,21.7,2,6.8,139
2026-05-20,Finland,Helsinki,15.2,79,14.4,0,8.3,235
2026-05-21,Finland,Helsinki,14.2,76,13.3,3,6.5,197
2026-05-22,Finland,Helsinki,13.5,83,11.4,3,16.2,239
2026-05-23,Finland,Helsinki,18.8,69,17.3,0,22.0,229
2026-05-24,Finland,Helsinki,19.6,48,15.4,1,29.2,287
2026-05-25,Finland,Helsinki,16.0,36,9.7,0,29.5,302
