date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Finland,Oulu,10.2,93,8.1,55,12.6,326
2026-05-17,Finland,Oulu,14.0,77,12.3,3,11.5,257
2026-05-17,Finland,Oulu,13.5,80,11.8,3,11.5,251
2026-05-17,Finland,Oulu,15.9,76,15.2,0,7.9,250
2026-05-18,Finland,Oulu,15.4,64,14.3,0,4.7,312
2026-05-19,Finland,Oulu,16.7,72,14.0,51,21.6,101
2026-05-20,Finland,Oulu,13.7,87,12.1,3,14.4,237
2026-05-21,Finland,Oulu,16.5,57,14.6,3,9.0,268
2026-05-22,Finland,Oulu,16.7,60,14.9,3,10.4,320
2026-05-23,Finland,Oulu,17.5,59,16.0,2,13.7,287
2026-05-24,Finland,Oulu,13.3,93,11.6,53,15.8,333
2026-05-25,Finland,Oulu,10.4,77,5.4,3,28.4,327
2026-05-26,Finland,Oulu,11.5,72,8.4,2,15.5,316
2026-05-27,Finland,Oulu,10.7,42,4.8,2,23.8,355
2026-05-28,Finland,Oulu,13.0,59,9.5,0,15.8,335
2026-05-29,Finland,Oulu,13.9,51,11.3,0,7.9,285
2026-05-30,Finland,Oulu,19.5,41,16.6,3,14.0,310
2026-05-31,Finland,Oulu,15.4,88,14.4,3,14.4,48
2026-06-01,Finland,Oulu,11.3,91,10.4,3,6.1,8
2026-06-02,Finland,Oulu,11.8,64,8.0,3,17.6,86
2026-06-03,Finland,Oulu,17.8,86,17.8,3,12.6,118
2026-06-04,Finland,Oulu,23.3,58,23.2,2,11.2,114
2026-06-05,Finland,Oulu,23.3,58,23.5,3,8.6,177
2026-06-06,Finland,Oulu,21.2,83,22.2,51,13.3,148
2026-06-07,Finland,Oulu,23.0,41,20.6,3,15.1,182
2026-06-08,Finland,Oulu,20.4,50,19.7,3,4.3,266
2026-06-09,Finland,Oulu,23.7,47,22.1,1,14.8,85
2026-06-10,Finland,Oulu,14.7,75,13.6,0,8.3,213
2026-06-11,Finland,Oulu,17.5,54,15.5,3,10.1,25
