date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Finland,Rovaniemi,10.6,90,7.4,61,19.8,9
2026-05-17,Finland,Rovaniemi,11.4,84,9.7,3,9.4,339
2026-05-17,Finland,Rovaniemi,12.2,76,10.6,3,7.6,348
2026-05-17,Finland,Rovaniemi,13.5,63,11.9,2,5.0,42
2026-05-18,Finland,Rovaniemi,16.5,60,14.6,0,10.4,220
2026-05-19,Finland,Rovaniemi,19.4,62,18.8,3,8.6,98
2026-05-20,Finland,Rovaniemi,19.4,81,19.3,3,14.8,219
2026-05-21,Finland,Rovaniemi,15.9,75,14.6,53,11.9,344
2026-05-22,Finland,Rovaniemi,20.3,51,18.4,3,13.0,244
2026-05-23,Finland,Rovaniemi,20.4,62,19.6,3,11.2,165
