date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Finland,Tampere,14.2,70,12.5,2,9.4,107
2026-05-17,Finland,Tampere,17.4,44,14.2,1,18.0,212
2026-05-17,Finland,Tampere,17.5,42,13.9,1,20.5,216
2026-05-17,Finland,Tampere,16.8,46,12.6,1,20.9,219
2026-05-18,Finland,Tampere,18.1,50,16.5,3,6.5,21
2026-05-19,Finland,Tampere,17.7,90,18.6,3,7.9,3
2026-05-20,Finland,Tampere,17.7,59,15.7,0,13.0,283
2026-05-21,Finland,Tampere,18.5,79,18.9,3,8.3,111
2026-05-22,Finland,Tampere,16.6,72,15.6,3,10.1,304
2026-05-23,Finland,Tampere,22.8,39,20.6,0,17.3,273
2026-05-24,Finland,Tampere,17.7,59,13.5,3,27.7,290
2026-05-25,Finland,Tampere,14.6,44,8.8,1,28.1,308
2026-05-26,Finland,Tampere,13.9,60,9.5,2,23.4,285
2026-05-27,Finland,Tampere,11.8,59,6.0,3,29.9,332
2026-05-28,Finland,Tampere,12.9,51,7.6,1,24.8,332
2026-05-29,Finland,Tampere,16.3,45,13.0,0,13.0,355
