date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Finland,Turku,13.0,78,10.9,2,13.0,201
2026-05-17,Finland,Turku,12.7,62,9.9,0,17.6,196
2026-05-17,Finland,Turku,13.4,62,10.6,0,17.3,198
2026-05-17,Finland,Turku,13.4,64,10.2,0,16.2,192
2026-05-18,Finland,Turku,20.0,38,17.3,3,10.4,44
2026-05-19,Finland,Turku,17.8,82,17.9,3,10.1,217
2026-05-20,Finland,Turku,16.7,60,14.7,0,11.5,247
2026-05-21,Finland,Turku,17.1,53,15.4,1,7.6,221
2026-05-22,Finland,Turku,19.2,64,17.8,0,14.0,263
2026-05-23,Finland,Turku,22.2,44,20.6,0,16.2,242
2026-05-24,Finland,Turku,18.8,46,14.0,2,27.7,302
2026-05-25,Finland,Turku,15.6,36,10.2,0,23.4,314
2026-05-26,Finland,Turku,14.6,58,11.0,3,18.4,295
2026-05-27,Finland,Turku,13.5,56,8.3,3,26.6,328
2026-05-28,Finland,Turku,14.1,41,9.0,0,21.6,322
2026-05-29,Finland,Turku,15.0,39,11.0,0,14.0,329
2026-05-30,Finland,Turku,22.2,25,20.6,0,4.7,321
2026-05-31,Finland,Turku,20.0,55,18.3,3,13.0,234
2026-06-01,Finland,Turku,14.3,59,12.3,3,7.6,227
2026-06-02,Finland,Turku,16.1,78,15.6,1,8.6,181
2026-06-03,Finland,Turku,18.7,63,17.5,2,11.2,162
2026-06-04,Finland,Turku,21.3,48,19.6,3,11.9,157
2026-06-05,Finland,Turku,19.1,84,20.0,3,9.0,166
2026-06-06,Finland,Turku,16.6,94,16.0,51,17.3,270
2026-06-07,Finland,Turku,19.8,45,16.5,0,18.0,212
2026-06-08,Finland,Turku,21.7,57,21.6,3,6.1,262
2026-06-09,Finland,Turku,21.0,44,18.9,2,11.2,115
2026-06-10,Finland,Turku,16.1,68,13.4,0,18.4,208
2026-06-11,Finland,Turku,12.5,89,10.4,53,15.8,358
2026-06-12,Finland,Turku,17.0,69,15.7,3,11.5,193
