date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,France,Marseille,17.6,38,12.8,0,21.6,327
2026-05-17,France,Marseille,20.2,40,15.6,0,17.7,275
2026-05-17,France,Marseille,17.9,61,14.0,0,25.6,260
2026-05-17,France,Marseille,18.0,60,14.0,0,24.9,259
2026-05-18,France,Marseille,18.1,69,15.3,0,18.3,250
2026-05-19,France,Marseille,19.1,66,18.4,2,7.1,255
2026-05-20,France,Marseille,21.2,63,19.9,0,18.2,278
2026-05-21,France,Marseille,19.9,81,20.1,0,6.5,276
2026-05-22,France,Marseille,21.5,73,21.7,0,6.5,270
2026-05-23,France,Marseille,22.8,65,22.8,1,9.2,259
2026-05-24,France,Marseille,25.3,56,24.4,3,11.6,244
2026-05-25,France,Marseille,27.9,37,26.2,0,6.1,242
2026-05-26,France,Marseille,26.4,47,26.1,0,3.3,283
2026-05-27,France,Marseille,25.6,58,26.4,3,2.1,301
2026-05-28,France,Marseille,25.0,74,27.4,1,9.5,349
2026-05-29,France,Marseille,25.5,60,25.6,3,1.5,14
