date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,France,Nice,17.7,40,15.8,0,3.4,32
2026-05-17,France,Nice,20.6,43,20.4,0,11.3,127
2026-05-17,France,Nice,20.7,39,19.7,0,13.0,136
2026-05-17,France,Nice,20.5,32,18.5,0,10.1,145
2026-05-18,France,Nice,17.1,74,17.4,1,3.1,36
2026-05-19,France,Nice,18.4,69,18.8,1,3.1,159
2026-05-20,France,Nice,19.0,73,19.6,0,4.4,145
2026-05-21,France,Nice,22.3,56,22.9,1,2.9,210
2026-05-22,France,Nice,23.8,47,23.8,0,4.1,195
2026-05-23,France,Nice,27.2,33,27.7,3,9.1,146
2026-05-24,France,Nice,28.3,33,28.9,1,10.4,160
2026-05-25,France,Nice,29.5,29,28.9,1,3.6,217
2026-05-26,France,Nice,28.2,38,28.6,1,3.1,234
2026-05-27,France,Nice,27.3,52,29.4,3,0.8,63
2026-05-28,France,Nice,24.3,71,27.2,3,2.0,135
2026-05-29,France,Nice,25.3,59,27.4,2,1.9,158
2026-05-30,France,Nice,28.1,49,30.7,2,9.8,163
2026-05-31,France,Nice,25.6,73,28.8,3,6.4,153
2026-06-01,France,Nice,21.8,89,25.2,3,2.7,113
2026-06-02,France,Nice,20.8,82,23.0,3,3.8,343
2026-06-03,France,Nice,21.5,72,22.9,1,5.4,356
2026-06-04,France,Nice,22.3,73,24.3,3,4.3,138
2026-06-05,France,Nice,22.7,63,23.7,0,5.4,127
2026-06-06,France,Nice,24.1,37,23.9,3,10.7,138
2026-06-07,France,Nice,23.3,68,24.7,2,9.7,138
