date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,France,Paris,14.3,48,11.5,3,8.4,277
2026-05-17,France,Paris,16.0,64,14.3,61,10.0,218
2026-05-17,France,Paris,16.1,64,14.1,80,12.1,217
2026-05-17,France,Paris,13.6,79,12.4,63,8.4,250
2026-05-18,France,Paris,14.6,65,13.3,3,5.3,242
2026-05-19,France,Paris,17.0,74,15.5,3,15.6,203
2026-05-20,France,Paris,19.5,60,18.6,3,9.8,242
2026-05-21,France,Paris,23.9,45,22.8,1,9.6,103
2026-05-22,France,Paris,28.8,28,27.4,1,6.7,126
2026-05-23,France,Paris,29.9,27,31.4,3,2.6,106
2026-05-24,France,Paris,31.8,35,33.4,1,11.6,60
2026-05-25,France,Paris,31.8,36,31.6,0,12.1,73
2026-05-26,France,Paris,31.0,29,29.7,0,10.9,9
2026-05-27,France,Paris,31.3,20,28.8,0,9.8,82
2026-05-28,France,Paris,31.6,32,31.2,3,9.2,169
2026-05-29,France,Paris,31.0,38,31.2,3,10.4,14
2026-05-30,France,Paris,33.6,26,34.3,2,6.3,257
2026-05-31,France,Paris,22.6,49,21.1,3,13.0,270
