date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Germany,Berlin,13.0,44,9.6,2,9.2,259
2026-05-17,Germany,Berlin,17.5,26,14.8,2,7.2,177
2026-05-17,Germany,Berlin,18.0,27,16.1,3,2.3,198
2026-05-17,Germany,Berlin,18.2,27,15.0,3,6.2,170
2026-05-18,Germany,Berlin,18.7,36,15.4,1,11.6,95
2026-05-19,Germany,Berlin,20.0,35,17.3,2,8.5,258
2026-05-20,Germany,Berlin,15.9,77,15.5,61,6.5,251
2026-05-21,Germany,Berlin,19.4,58,18.0,2,11.4,294
2026-05-22,Germany,Berlin,23.2,47,22.6,2,7.1,300
2026-05-23,Germany,Berlin,26.4,42,28.1,0,4.7,203
2026-05-24,Germany,Berlin,28.2,41,28.0,2,13.0,294
2026-05-25,Germany,Berlin,26.0,40,25.0,0,9.2,296
2026-05-26,Germany,Berlin,28.4,37,27.0,0,14.0,252
2026-05-27,Germany,Berlin,19.3,28,15.0,0,15.0,339
2026-05-28,Germany,Berlin,19.8,37,17.6,0,6.1,3
2026-05-29,Germany,Berlin,25.7,24,23.7,3,3.2,333
2026-05-30,Germany,Berlin,22.7,43,19.6,3,19.9,315
2026-05-31,Germany,Berlin,19.9,56,18.8,61,9.1,326
2026-06-01,Germany,Berlin,17.9,65,17.2,2,6.8,108
2026-06-02,Germany,Berlin,22.4,43,20.6,3,10.2,108
2026-06-03,Germany,Berlin,18.3,60,17.5,3,6.3,167
2026-06-04,Germany,Berlin,20.7,61,20.2,3,9.5,205
2026-06-05,Germany,Berlin,21.0,45,19.5,2,8.0,260
2026-06-06,Germany,Berlin,23.7,33,21.6,3,8.4,170
2026-06-07,Germany,Berlin,20.5,49,17.7,2,18.3,280
2026-06-08,Germany,Berlin,25.1,35,23.2,3,10.2,148
2026-06-09,Germany,Berlin,17.1,57,14.5,0,15.2,301
2026-06-10,Germany,Berlin,16.2,65,14.5,3,11.2,138
2026-06-11,Germany,Berlin,16.0,57,14.1,2,8.5,282
2026-06-12,Germany,Berlin,17.6,70,16.7,61,10.9,236
2026-06-13,Germany,Berlin,17.8,63,14.4,80,25.1,302
2026-06-14,Germany,Berlin,15.8,57,11.9,61,21.6,272
2026-06-15,Germany,Berlin,19.4,39,14.7,3,23.6,289
2026-06-16,Germany,Berlin,21.7,41,20.7,2,10.8,266
2026-06-17,Germany,Berlin,23.5,41,22.8,1,11.9,275
2026-06-18,Germany,Berlin,27.6,45,27.3,3,12.6,290
2026-06-19,Germany,Berlin,33.6,29,32.5,95,14.0,235
2026-06-20,Germany,Berlin,29.8,50,32.6,3,3.6,360
2026-06-21,Germany,Berlin,23.4,70,24.8,3,9.1,7
2026-06-22,Germany,Berlin,26.9,35,26.2,1,9.7,358
2026-06-23,Germany,Berlin,26.1,40,27.7,1,4.3,5
2026-06-24,Germany,Berlin,30.3,24,31.3,0,2.6,286
2026-06-25,Germany,Berlin,32.8,38,35.1,1,10.8,323
2026-06-26,Germany,Berlin,31.7,20,31.9,0,5.1,94
2026-06-27,Germany,Berlin,36.0,29,38.4,3,6.8,148
2026-06-29,Germany,Berlin,23.5,79,24.8,3,15.9,4
2026-06-30,Germany,Berlin,27.5,29,27.3,2,7.8,22
2026-07-01,Germany,Berlin,23.3,56,23.2,3,9.8,343
2026-07-02,Germany,Berlin,25.4,40,23.7,2,14.8,244
2026-07-03,Germany,Berlin,20.5,46,16.9,3,21.8,283
2026-07-04,Germany,Berlin,18.8,54,16.1,3,17.6,293
2026-07-05,Germany,Berlin,21.3,53,19.1,2,21.7,306
2026-07-06,Germany,Berlin,18.2,74,16.9,61,16.5,234
2026-07-07,Germany,Berlin,21.0,61,19.0,3,20.2,254
2026-07-08,Germany,Berlin,19.4,44,17.4,1,18.0,290
2026-07-09,Germany,Berlin,21.7,51,21.2,2,13.3,303
2026-07-10,Germany,Berlin,24.2,50,23.9,3,14.1,328
2026-07-11,Germany,Berlin,23.2,43,23.2,1,8.5,348
2026-07-12,Germany,Berlin,27.5,42,27.8,3,12.2,341
2026-07-13,Germany,Berlin,26.8,48,26.4,2,13.3,41
2026-07-14,Germany,Berlin,20.9,53,20.0,3,8.4,70
2026-07-15,Germany,Berlin,24.2,31,22.9,2,8.7,42
2026-07-16,Germany,Berlin,26.6,45,27.5,2,7.2,117
