date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Germany,Cologne,10.7,72,8.2,51,10.1,234
2026-05-17,Germany,Cologne,12.3,79,10.1,3,12.6,164
2026-05-17,Germany,Cologne,13.2,79,11.3,3,12.2,153
2026-05-17,Germany,Cologne,15.5,65,13.4,3,12.6,181
2026-05-18,Germany,Cologne,14.4,63,11.3,53,16.6,285
2026-05-19,Germany,Cologne,17.1,65,15.5,3,12.2,186
2026-05-20,Germany,Cologne,17.7,72,16.2,1,15.5,266
2026-05-21,Germany,Cologne,21.8,45,20.4,1,8.6,311
2026-05-22,Germany,Cologne,28.1,37,28.0,1,4.7,154
2026-05-23,Germany,Cologne,29.3,36,31.1,3,5.0,303
2026-05-24,Germany,Cologne,29.0,34,29.3,3,11.2,331
2026-05-25,Germany,Cologne,29.9,26,28.0,2,10.4,39
