date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Germany,Frankfurt,12.4,51,9.8,1,6.3,204
2026-05-17,Germany,Frankfurt,15.6,45,12.1,3,14.0,226
2026-05-17,Germany,Frankfurt,15.3,45,12.4,3,9.7,225
2026-05-17,Germany,Frankfurt,16.4,46,14.2,3,6.9,219
2026-05-18,Germany,Frankfurt,16.6,47,14.7,2,5.1,262
2026-05-19,Germany,Frankfurt,17.7,52,16.0,3,7.8,193
2026-05-20,Germany,Frankfurt,18.5,61,17.4,2,9.8,246
2026-05-21,Germany,Frankfurt,22.9,42,21.7,3,6.6,49
2026-05-22,Germany,Frankfurt,27.5,27,25.6,0,7.2,87
2026-05-23,Germany,Frankfurt,29.4,33,31.8,2,1.1,90
2026-05-24,Germany,Frankfurt,30.4,41,33.2,3,4.4,351
2026-05-25,Germany,Frankfurt,29.5,22,27.4,1,7.4,23
2026-05-26,Germany,Frankfurt,30.5,23,29.0,0,5.1,4
2026-05-27,Germany,Frankfurt,25.1,38,23.2,0,12.9,23
2026-05-28,Germany,Frankfurt,23.5,21,20.4,2,6.8,32
2026-05-29,Germany,Frankfurt,29.0,30,28.3,3,4.8,207
2026-05-30,Germany,Frankfurt,25.8,51,25.9,3,10.8,255
2026-05-31,Germany,Frankfurt,25.2,65,26.8,3,9.8,262
2026-06-01,Germany,Frankfurt,19.7,60,19.8,2,3.1,69
2026-06-02,Germany,Frankfurt,16.8,87,16.8,80,10.3,216
2026-06-03,Germany,Frankfurt,17.7,65,16.8,61,8.4,200
2026-06-04,Germany,Frankfurt,16.5,80,15.6,3,12.9,207
2026-06-05,Germany,Frankfurt,19.6,49,18.4,2,6.2,277
2026-06-06,Germany,Frankfurt,23.3,34,21.7,2,11.9,205
2026-06-07,Germany,Frankfurt,22.4,37,20.7,3,8.7,246
2026-06-08,Germany,Frankfurt,20.9,61,20.5,61,9.4,180
2026-06-09,Germany,Frankfurt,20.1,30,16.8,3,10.5,248
2026-06-10,Germany,Frankfurt,16.5,51,14.3,3,8.4,277
