date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Germany,Hamburg,10.2,72,7.7,3,8.9,243
2026-05-17,Germany,Hamburg,14.8,51,11.6,3,13.4,207
2026-05-17,Germany,Hamburg,15.1,50,12.1,3,11.8,200
2026-05-17,Germany,Hamburg,15.6,45,12.2,3,13.7,207
2026-05-18,Germany,Hamburg,15.0,77,13.5,3,12.4,324
2026-05-19,Germany,Hamburg,18.2,46,15.5,3,12.3,201
2026-05-20,Germany,Hamburg,14.0,84,13.3,61,7.2,264
2026-05-21,Germany,Hamburg,18.2,61,17.0,3,9.4,302
2026-05-22,Germany,Hamburg,21.8,54,21.6,1,6.2,353
2026-05-23,Germany,Hamburg,26.6,40,27.4,3,8.3,252
2026-05-24,Germany,Hamburg,22.5,40,21.2,3,14.2,324
2026-05-25,Germany,Hamburg,24.5,47,23.3,0,13.2,313
2026-05-26,Germany,Hamburg,23.2,50,21.6,0,15.7,307
2026-05-27,Germany,Hamburg,17.4,32,13.1,0,15.6,326
2026-05-28,Germany,Hamburg,18.8,47,16.9,0,8.1,315
2026-05-29,Germany,Hamburg,25.0,48,24.8,3,8.7,263
2026-05-30,Germany,Hamburg,21.8,51,19.9,2,19.0,289
2026-05-31,Germany,Hamburg,22.2,37,20.3,1,8.3,326
2026-06-01,Germany,Hamburg,18.1,54,17.0,3,5.1,135
2026-06-02,Germany,Hamburg,19.5,74,19.1,3,13.2,151
2026-06-03,Germany,Hamburg,17.6,75,17.2,3,9.1,173
2026-06-04,Germany,Hamburg,16.4,74,15.0,3,12.8,218
2026-06-05,Germany,Hamburg,15.7,76,15.2,3,6.1,267
2026-06-06,Germany,Hamburg,21.6,51,20.6,3,9.3,167
2026-06-07,Germany,Hamburg,17.0,76,15.1,61,18.5,249
2026-06-08,Germany,Hamburg,21.2,57,21.2,3,4.9,163
2026-06-09,Germany,Hamburg,16.3,60,14.8,95,7.9,267
2026-06-10,Germany,Hamburg,14.3,67,12.7,61,7.3,261
2026-06-11,Germany,Hamburg,15.3,63,13.8,3,7.6,245
2026-06-12,Germany,Hamburg,16.9,69,14.6,3,18.3,285
2026-06-13,Germany,Hamburg,14.3,73,10.9,3,22.5,276
2026-06-14,Germany,Hamburg,15.6,64,11.9,80,23.3,292
2026-06-15,Germany,Hamburg,15.9,56,11.8,2,22.9,296
2026-06-16,Germany,Hamburg,18.5,49,17.4,3,8.4,301
2026-06-17,Germany,Hamburg,22.3,49,22.4,2,8.2,229
2026-06-18,Germany,Hamburg,26.4,51,26.5,3,14.4,270
2026-06-19,Germany,Hamburg,27.9,63,32.7,1,5.1,219
2026-06-20,Germany,Hamburg,27.9,61,31.7,3,6.6,241
2026-06-21,Germany,Hamburg,25.8,56,28.0,3,5.2,16
2026-06-22,Germany,Hamburg,25.2,45,24.7,3,13.2,349
2026-06-23,Germany,Hamburg,24.7,43,25.9,1,6.3,336
2026-06-24,Germany,Hamburg,29.4,39,32.0,0,3.6,233
2026-06-25,Germany,Hamburg,27.4,55,30.0,1,11.3,333
2026-06-26,Germany,Hamburg,32.0,29,32.4,0,12.3,130
2026-06-27,Germany,Hamburg,35.9,33,39.5,0,4.0,117
2026-06-29,Germany,Hamburg,24.8,55,25.1,3,10.2,315
2026-06-30,Germany,Hamburg,22.7,55,22.8,3,8.1,58
2026-07-01,Germany,Hamburg,22.8,60,24.0,2,3.3,354
2026-07-02,Germany,Hamburg,22.6,57,20.8,61,19.9,228
2026-07-03,Germany,Hamburg,19.1,53,15.5,3,26.1,298
2026-07-04,Germany,Hamburg,15.9,84,15.5,61,10.2,219
2026-07-05,Germany,Hamburg,20.0,61,18.3,3,19.3,303
2026-07-06,Germany,Hamburg,18.7,82,17.8,3,19.1,266
2026-07-07,Germany,Hamburg,19.0,78,17.5,61,22.0,273
2026-07-08,Germany,Hamburg,18.7,55,17.3,1,18.4,310
2026-07-09,Germany,Hamburg,19.7,70,19.5,2,10.3,306
2026-07-10,Germany,Hamburg,23.2,61,25.6,2,6.9,351
2026-07-11,Germany,Hamburg,24.6,53,26.2,0,7.4,337
2026-07-12,Germany,Hamburg,24.5,56,26.2,0,9.9,314
