date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Germany,Munich,8.4,72,5.8,80,7.6,225
2026-05-17,Germany,Munich,14.4,35,11.8,3,2.2,261
2026-05-17,Germany,Munich,14.5,36,11.1,3,8.4,329
2026-05-17,Germany,Munich,15.1,32,12.5,3,1.6,153
2026-05-18,Germany,Munich,13.3,69,10.6,3,14.8,264
2026-05-19,Germany,Munich,17.9,37,15.6,3,5.1,278
2026-05-20,Germany,Munich,14.9,68,13.9,95,4.7,270
2026-05-21,Germany,Munich,19.4,44,17.5,1,7.4,23
2026-05-22,Germany,Munich,23.6,31,20.8,0,11.4,62
2026-05-23,Germany,Munich,25.7,37,25.9,0,11.2,84
2026-05-24,Germany,Munich,28.4,31,29.2,0,7.2,357
2026-05-25,Germany,Munich,28.4,31,26.9,1,9.2,11
2026-05-26,Germany,Munich,28.7,26,27.0,0,6.9,9
2026-05-27,Germany,Munich,27.1,30,24.8,0,11.7,326
2026-05-28,Germany,Munich,23.5,20,20.0,0,9.0,5
2026-05-29,Germany,Munich,24.9,17,21.7,0,5.8,30
2026-05-30,Germany,Munich,27.5,31,25.7,3,10.2,315
2026-05-31,Germany,Munich,22.4,52,21.4,3,10.7,320
2026-06-01,Germany,Munich,15.9,72,15.3,3,5.4,143
2026-06-02,Germany,Munich,15.4,82,14.1,61,13.6,248
2026-06-03,Germany,Munich,13.5,83,12.6,1,7.6,205
2026-06-04,Germany,Munich,17.1,72,15.2,61,16.9,286
2026-06-05,Germany,Munich,17.5,60,16.0,2,9.3,344
2026-06-06,Germany,Munich,21.9,45,20.7,3,8.2,293
2026-06-07,Germany,Munich,23.4,39,22.0,2,6.6,257
2026-06-08,Germany,Munich,25.6,31,23.5,3,9.4,272
2026-06-09,Germany,Munich,13.9,87,13.4,61,7.2,198
