date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Greece,Athens,19.1,81,20.9,2,0.8,63
2026-05-17,Greece,Athens,24.5,26,22.6,1,15.8,253
2026-05-17,Greece,Athens,24.5,27,22.2,0,16.7,264
2026-05-17,Greece,Athens,24.5,27,21.1,0,14.8,267
2026-05-18,Greece,Athens,20.6,53,20.0,2,6.2,100
2026-05-19,Greece,Athens,17.1,85,18.0,80,4.1,255
2026-05-20,Greece,Athens,22.0,42,21.1,0,3.3,41
2026-05-21,Greece,Athens,19.7,74,20.8,3,3.6,264
2026-05-22,Greece,Athens,21.4,69,21.8,95,10.2,188
2026-05-23,Greece,Athens,23.0,55,22.9,3,8.4,25
2026-05-24,Greece,Athens,24.9,53,25.2,3,13.2,35
2026-05-25,Greece,Athens,25.3,30,22.8,0,11.3,27
2026-05-26,Greece,Athens,25.3,43,25.2,0,4.6,39
2026-05-27,Greece,Athens,24.1,38,23.2,0,4.3,90
2026-05-28,Greece,Athens,23.5,44,23.5,3,1.0,225
2026-05-29,Greece,Athens,22.2,40,20.4,3,8.3,56
2026-05-30,Greece,Athens,27.3,36,27.5,0,10.8,195
2026-05-31,Greece,Athens,27.7,42,27.3,3,10.8,195
2026-06-01,Greece,Athens,21.4,57,22.1,0,0.5,315
2026-06-02,Greece,Athens,21.9,66,23.7,0,0.5,135
2026-06-03,Greece,Athens,21.8,67,23.5,0,1.1,90
2026-06-04,Greece,Athens,25.4,48,25.7,2,5.9,76
2026-06-05,Greece,Athens,23.8,65,25.5,1,5.5,157
2026-06-06,Greece,Athens,30.1,39,32.1,0,7.3,171
2026-06-07,Greece,Athens,31.5,27,29.8,0,12.0,99
2026-06-08,Greece,Athens,28.0,35,27.4,3,6.2,54
2026-06-09,Greece,Athens,28.4,33,28.2,2,2.5,8
2026-06-10,Greece,Athens,26.6,30,25.0,0,6.3,66
2026-06-11,Greece,Athens,25.9,41,26.3,3,1.0,45
2026-06-12,Greece,Athens,23.6,70,26.0,3,3.3,354
2026-06-13,Greece,Athens,26.7,36,24.8,0,13.6,11
2026-06-14,Greece,Athens,29.1,30,28.8,2,12.6,323
2026-06-15,Greece,Athens,30.1,33,29.3,0,10.0,195
2026-06-16,Greece,Athens,31.3,42,33.6,1,8.9,201
2026-06-17,Greece,Athens,28.5,55,31.2,80,3.2,207
2026-06-18,Greece,Athens,30.5,31,29.6,1,18.2,27
2026-06-19,Greece,Athens,29.4,25,27.7,0,19.1,20
2026-06-20,Greece,Athens,29.1,29,27.8,0,21.5,23
2026-06-21,Greece,Athens,31.3,21,29.5,0,20.5,28
2026-06-22,Greece,Athens,31.9,26,29.6,0,18.5,29
2026-06-23,Greece,Athens,33.8,27,34.5,0,14.0,35
2026-06-24,Greece,Athens,33.2,30,35.9,1,2.7,293
2026-06-25,Greece,Athens,32.5,31,31.7,2,12.7,7
2026-06-26,Greece,Athens,34.3,20,32.4,0,23.2,26
2026-06-27,Greece,Athens,32.9,23,30.4,0,28.7,33
2026-06-29,Greece,Athens,35.1,25,34.4,0,18.9,48
2026-06-30,Greece,Athens,35.2,27,34.7,2,15.9,51
2026-07-01,Greece,Athens,33.8,32,35.1,0,13.9,155
2026-07-02,Greece,Athens,33.8,36,35.6,1,10.9,207
2026-07-03,Greece,Athens,34.3,35,35.5,2,12.1,197
2026-07-04,Greece,Athens,31.7,47,32.8,2,15.9,51
2026-07-05,Greece,Athens,30.9,27,29.5,0,21.8,34
