date,country,city,temperature,humidity,feels_like,weather_code,wind_speed,wind_direction
2026-05-16,Greece,Crete,20.3,43,15.4,2,29.0,218
2026-05-17,Greece,Crete,20.8,20,14.4,3,32.6,276
2026-05-17,Greece,Crete,19.6,23,13.7,3,26.0,265
2026-05-17,Greece,Crete,19.9,31,13.6,3,31.1,276
2026-05-18,Greece,Crete,14.4,91,14.2,3,7.2,276
2026-05-19,Greece,Crete,11.2,96,9.8,1,10.4,304
2026-05-20,Greece,Crete,10.6,83,8.6,2,10.1,333
2026-05-21,Greece,Crete,13.3,78,12.5,0,5.0,339
2026-05-22,Greece,Crete,12.3,90,11.5,80,6.9,354
2026-05-23,Greece,Crete,13.1,93,11.5,80,15.5,295
2026-05-24,Greece,Crete,15.4,87,14.6,2,15.1,348
2026-05-25,Greece,Crete,13.6,93,12.9,45,10.1,360
2026-05-26,Greece,Crete,13.6,92,13.9,0,2.3,342
2026-05-27,Greece,Crete,14.5,89,14.7,0,4.5,209
2026-05-28,Greece,Crete,15.6,56,14.0,0,5.4,274
2026-05-29,Greece,Crete,15.7,76,16.0,1,0.8,27
2026-05-30,Greece,Crete,20.3,38,18.8,1,11.9,5
2026-05-31,Greece,Crete,20.4,35,17.0,0,14.0,359
2026-06-01,Greece,Crete,15.6,56,13.8,0,6.9,189
